Position,Name,Bib,Time,Net Time,Category,Category Position,Gender,Gender Position,col10
77,SAMUEL RICHARD LESLIE,0185,03:25:30,03:25:22,M20-39,45,M,70,view
78,TOM BRUNSTROM,0390,03:25:54,03:23:46,M20-39,46,M,71,view
79,MICHAEL BAXTER,0022,03:25:58,03:25:20,VM50-59,6,M,72,view
80,ALEX NISBET,0376,03:26:03,03:25:17,M20-39,47,M,73,view
81,STEVE SCANNELL,0278,03:26:09,03:25:39,M20-39,48,M,74,view
82,MARK LA ROCHE,0178,03:26:17,03:25:45,VM40-49,20,M,75,view
83,CHRISTOPHER HOLMES,0155,03:26:55,03:26:41,M20-39,49,M,76,view
84,PAUL HARFORD,0138,03:27:01,03:26:40,VM40-49,21,M,77,view
85,CRAIG FURNESS,0113,03:27:05,03:26:43,M20-39,50,M,78,view
86,JAYDEN ANKER,0011,03:27:44,03:26:46,M20-39,51,M,79,view
87,MIKE ADAMS,0401,03:27:47,03:27:00,VM40-49,22,M,80,view
88,MIKE PARRIS,0383,03:28:06,03:27:26,VM40-49,23,M,81,view
89,WAYNE BAXTER,0023,03:28:08,03:27:15,VM40-49,24,M,82,view
90,JARROD GILBERT,0370,03:28:12,03:27:33,M20-39,52,M,83,view
91,GEORGE BARRY,0020,03:28:23,03:28:15,M20-39,53,M,84,view
92,JAMES MARTIN,0197,03:28:57,03:27:56,M20-39,54,M,85,view
93,ROBYN PERKINS,0243,03:28:58,03:27:46,VW40-49,3,F,8,view
94,DAVID GUY,0130,03:29:04,03:28:21,VM50-59,7,M,86,view
95,KEVIN HAUGH,0384,03:29:38,03:28:28,M20-39,55,M,87,view
96,SAM TWYMAN,0322,03:29:38,03:28:55,M12-19,2,M,88,view
97,MARTIN MCGUINNESS,0202,03:29:40,03:28:30,M20-39,56,M,89,view
98,JAMES LILEY,0382,03:29:42,03:28:39,M20-39,57,M,90,view
99,NEIL MCARA,0200,03:29:43,03:29:21,VM40-49,25,M,91,view
100,JOHN FREDERICKSEN,0110,03:30:15,03:29:20,VM40-49,26,M,92,view
101,MARK RHODES,0259,03:30:28,03:30:02,M20-39,58,M,93,view
102,PETER WHITE,0338,03:30:31,03:29:29,VM40-49,27,M,94,view
103,LACHIE WATSON,0334,03:30:32,03:30:15,M12-19,3,M,95,view
104,GREG WILLIAMSON,0342,03:30:33,03:30:18,VM40-49,28,M,96,view
105,LAURENCE COOKE,0067,03:30:44,03:30:25,VM40-49,29,M,97,view
106,PHILIP GRADY,0124,03:31:51,03:31:19,VM40-49,30,M,98,view
107,LIAM KELLY,0175,03:32:07,03:31:02,M20-39,59,M,99,view
108,SAM MCHATTIE,0204,03:32:08,03:31:21,M20-39,60,M,100,view
109,RICHARD YOUNG,0354,03:32:13,03:32:00,VM50-59,8,M,101,view
110,HAYDEN STOCKDALE,0304,03:32:30,03:31:29,M20-39,61,M,102,view
111,DAVID CHAMBERLAIN,0054,03:32:33,03:31:39,M12-19,4,M,103,view
112,LEE WRIGHT,0347,03:32:50,03:32:36,VW40-49,4,F,9,view
113,RACHEL CACKETT,0047,03:32:59,03:32:40,W20-39,5,F,10,view
114,JONATHON HAGGER,0132,03:33:23,03:32:23,M20-39,62,M,104,view
115,CLAIRE WASHINGTON,0331,03:33:41,03:31:29,W20-39,6,F,11,view
116,DAVE EATON,0091,03:33:54,03:33:15,VM60-69,1,M,105,view
117,KEVIN GRIMWOOD,0128,03:34:06,03:33:56,M20-39,63,M,106,view
118,KAI MAN CHEUNG,0057,03:34:07,03:34:02,VM50-59,9,M,107,view
119,PETER ADAMS,0150,03:34:11,03:33:18,VM40-49,31,M,108,view
120,CRAIG PERRY,0244,03:34:22,03:34:03,VM40-49,32,M,109,view
121,NICK BOYD,0032,03:34:43,03:33:50,M20-39,64,M,110,view
122,DAVID RYAN,0403,03:35:09,03:34:48,M20-39,65,M,111,view
123,PATRICK NOLAN,0227,03:35:43,03:34:59,M20-39,66,M,112,view
124,MIKE RISHWORTH,0267,03:36:25,03:36:11,M20-39,67,M,113,view
125,BRAD LAW,0392,03:36:27,03:35:40,VM40-49,33,M,114,view
126,YOUNG SAN SEO,0282,03:36:47,03:36:38,VM40-49,34,M,115,view
127,LEWIS DONALDSON,0084,03:36:51,03:36:18,M20-39,68,M,116,view
128,BRENDON ROSS,0276,03:36:57,03:36:21,VM40-49,35,M,117,view
129,MEGAN ANDREWS,0380,03:37:03,03:36:18,VW40-49,5,F,12,view
130,DAVID MITCHELL,0214,03:37:19,03:36:56,M20-39,69,M,118,view
131,JAMES MULLER,0220,03:37:27,03:36:32,M20-39,70,M,119,view
132,PETER MATHESON,0199,03:37:43,03:36:17,M20-39,71,M,120,view
133,TERRY PREDDY,0252,03:38:03,03:37:24,VM60-69,2,M,121,view
134,MATT MACE,0193,03:38:04,03:37:29,M20-39,72,M,122,view
135,TERRY PACKMAN,0238,03:38:06,03:37:38,VM60-69,3,M,123,view
136,DAVID LIBERLES,0187,03:38:07,03:36:33,VM40-49,36,M,124,view
137,CLARK AMBROSE,0008,03:38:09,03:36:46,M20-39,73,M,125,view
138,KIM ANDERSON-HADLEY,0010,03:38:15,03:37:34,VW40-49,6,F,13,view
139,MARCOS DANIEL ALBORNOZ,0005,03:38:33,03:37:44,M20-39,74,M,126,view
140,MIKE WEBB,0335,03:38:37,03:37:37,VM40-49,37,M,127,view
141,JASPER HAWKINS,0141,03:38:38,03:38:21,M20-39,75,M,128,view
142,SHANNON-LEIGH LITT,0397,03:39:02,03:39:00,W20-39,7,F,14,view
143,PETE HAWARD,0140,03:39:11,03:37:57,M20-39,76,M,129,view
144,DAVE JENKINS,0170,03:39:14,03:37:54,M20-39,77,M,130,view
145,PETER KLAASSEN,0177,03:39:19,03:38:58,M20-39,78,M,131,view
146,OLIVIER LACOUA,0179,03:39:37,03:38:47,VM40-49,38,M,132,view
147,NELSON BATT,0369,03:40:46,03:39:53,M20-39,79,M,133,view
148,OWEN FOSTER,0107,03:41:26,03:39:52,M20-39,80,M,134,view
149,ALOIS VERSTRAETEN,0323,03:41:33,03:40:11,VM50-59,10,M,135,view
150,WILLIAM HUNTER,0161,03:41:46,03:40:44,VM40-49,39,M,136,view
151,ELIZABETH HADFIELD,0131,03:42:33,03:41:26,W20-39,8,F,15,view
152,BLAIR TEMPLETON,0312,03:42:40,03:41:01,M20-39,81,M,137,view
153,JEREMY PELVIN,0377,03:42:48,03:40:50,M20-39,82,M,138,view
154,JOHN GOOLD,0122,03:43:02,03:41:41,VM60-69,4,M,139,view
155,SHUHEI NAKAGAWA,0221,03:43:15,03:42:21,VM50-59,11,M,140,view
156,JOANNE STEVENSON,0297,03:43:19,03:41:59,W20-39,9,F,16,view
157,MARK RIGBY,0265,03:43:48,03:42:52,VM40-49,40,M,141,view
158,JAMES PARK,0239,03:43:52,03:42:38,VM50-59,12,M,142,view
159,JOHN APPS,0014,03:43:55,03:41:10,VM50-59,13,M,143,view
160,CRAIG HAMILTON,0135,03:44:04,03:42:40,M20-39,83,M,144,view
161,ALAN AITCHISON,0379,03:44:19,03:43:30,M20-39,84,M,145,view
162,TIM MCHARG,0203,03:44:45,03:44:25,M20-39,85,M,146,view
163,JONATHAN PHAIR,0246,03:45:04,03:42:56,M20-39,86,M,147,view
164,PHIL GIBSON,0115,03:46:01,03:44:34,VM50-59,14,M,148,view
165,BRENT FORD,0105,03:46:07,03:46:07,VM40-49,41,M,149,view
166,ADRIAN FASTIER,0359,03:46:19,03:45:26,M20-39,87,M,150,view
167,MICHAEL MARTIN,0198,03:46:23,03:45:55,VM50-59,15,M,151,view
168,RICHARD MORGAN,0218,03:46:39,03:46:03,VM40-49,42,M,152,view
169,MATT SIGNAL,0288,03:46:53,03:45:50,M20-39,88,M,153,view
170,PAUL BAKER,0388,03:47:40,03:46:57,VM40-49,43,M,154,view
171,KIERAN STUART,0305,03:48:00,03:47:02,M20-39,89,M,155,view
172,PATRICIA STICHBURY,0303,03:48:41,03:48:17,VW50-59,2,F,17,view
173,PAUL HEMBURROW,0146,03:48:44,03:48:29,VM40-49,44,M,156,view
174,DADONG WANG,0086,03:48:47,03:47:59,M20-39,90,M,157,view
175,JULIAN EDLIN,0094,03:49:25,03:48:57,VM40-49,45,M,158,view
176,CHAD GILLESPIE,0117,03:50:46,03:49:16,VM40-49,46,M,159,view
177,WILLEM LAMPE,0373,03:50:50,03:50:24,M20-39,91,M,160,view
178,ANDREW LECKIE,0183,03:51:17,03:49:26,M20-39,92,M,161,view
179,CONNOR OWENS,0237,03:51:36,03:51:23,M20-39,93,M,162,view
180,ANDREW PRICE,0253,03:51:45,03:50:41,M20-39,94,M,163,view
181,COREY TEMOANANUI,0311,03:52:01,03:50:58,M20-39,95,M,164,view
182,ANDREW REDMOND,0395,03:52:09,03:49:56,VM40-49,47,M,165,view
183,PRABUDDHA NICOL,0374,03:52:13,03:51:09,VM50-59,16,M,166,view
184,AARON HILL,0149,03:52:38,03:51:01,VM40-49,48,M,167,view
185,MATT GILLING,0118,03:52:40,03:51:13,VM40-49,49,M,168,view
186,JEFF ROBERTS,0269,03:52:46,03:51:56,VM50-59,17,M,169,view
187,JAMES WILDERS,0127,03:53:09,03:50:54,M20-39,96,M,170,view
188,DAVID CARTWRIGHT,0357,03:53:24,03:52:20,VM40-49,50,M,171,view
189,KARIN STAHEL,0358,03:53:25,03:52:20,W20-39,10,F,18,view
190,GRAEME STEWART,0298,03:53:33,03:51:38,M20-39,97,M,172,view
191,CRYSTAL IGNATOWSKI,0163,03:53:57,03:51:49,W20-39,11,F,19,view
192,GARY LINDBOM,0189,03:54:13,03:52:05,VM40-49,51,M,173,view
193,JOHN MOLLOY,0216,03:54:13,03:52:43,M20-39,98,M,174,view
194,JUDE LANGE,0180,03:54:40,03:52:31,VW40-49,7,F,20,view
195,PAUL DORRANCE,0363,03:54:59,03:52:52,VM40-49,52,M,175,view
196,RUSSELL FILDES,0102,03:55:15,03:53:31,M20-39,99,M,176,view
197,SOPHIE THORN,0315,03:55:19,03:54:46,W20-39,12,F,21,view
