Position,Name,Time,Category,Category Position
1st,Joshua McGettigan,1:17:16,M 19-34,1st
2nd,Trevor Voyce,1:18:51,M 19-34,2nd
3rd,Kent Hodgson,1:20:30,M 45-49,1st
4th,Oliver McLaren,1:22:47,M 19-34,3rd
5th,Dave Grono,1:23:18,M 35-39,1st
6th,Matt Ansell,1:23:42,M 19-34,4th
7th,Mike Tolmay,1:24:05,M 19-34,5th
8th,James Kuegler,1:24:31,M 19-34,6th
9th,Matt Costello,1:25:42,M 40-44,1st
10th,Tom Gethin,1:26:38,M 40-44,2nd
11th,Paul Spinks,1:26:51,M 40-44,3rd
12th,James Faulkner,1:27:42,M  0-18,1st
13th,Nicholas Dominick,1:27:46,M 19-34,7th
14th,Scotty McDermid,1:27:50,M 19-34,8th
15th,Annabelle Latz,1:28:01,F 19-34,1st
16th,Peter Olds,1:28:20,M 40-44,4th
17th,Chris Kaelin,1:28:36,M 19-34,9th
18th,Bill Small,1:28:49,M 35-39,2nd
19th,Stuart Barnes,1:29:14,M 35-39,3rd
20th,Barry Dempsey,1:29:52,M 40-44,5th
21st,Rodrigo Escobar,1:29:59,M 19-34,10th
22nd,Anneke Cockerell,1:30:06,F 19-34,2nd
23rd,Travis Haymes,1:30:06,M 19-34,11th
24th,Raymond McLean,1:30:12,M 45-49,2nd
25th,Keith Zanders,1:31:17,M 35-39,4th
26th,Richard McKernan,1:31:28,M 35-39,5th
27th,Sandy O'Connell,1:31:49,M 45-49,3rd
28th,Tom Small,1:32:01,M 19-34,12th
29th,Tony Lamain,1:32:15,M 50-54,1st
30th,Kurt Dixon,1:32:28,M 35-39,6th
31st,Matthew Goodger,1:32:36,M 19-34,13th
32nd,Graeme Miller,1:33:07,M 50-54,2nd
33rd,Warren Cairns,1:34:14,M 40-44,6th
34th,Glenn Coughlan,1:34:14,M 40-44,7th
35th,Mark Williams,1:34:16,M 40-44,8th
36th,Craig Bamber,1:34:35,M 19-34,14th
37th,Nikita Watkins,1:34:48,F 19-34,3rd
38th,Alice Coombs,1:34:49,F 19-34,4th
39th,Matt Sumner,1:34:49,M 19-34,15th
40th,John Reicher,1:35:29,M 19-34,16th
41st,Sally Bamber,1:36:09,F 19-34,5th
42nd,Toni Sythes,1:36:31,F 40-44,1st
43rd,Debbie Rankin,1:36:31,F 45-49,1st
44th,Dan Bradley,1:36:35,M 19-34,17th
45th,Kirsten Hall,1:36:41,F 19-34,6th
46th,Peter Tormey,1:37:04,M 19-34,18th
47th,Lisa Brignull,1:37:15,F 35-39,1st
48th,Grant Anthony,1:37:22,M 19-34,19th
49th,Scott Greenlees,1:37:48,M 19-34,20th
50th,Anthony Bowron,1:38:01,M 40-44,9th
51st,Zoe Wallis,1:38:11,F 19-34,7th
52nd,Jacinda Thompson,1:38:28,F 35-39,2nd
53rd,Tom Broughton,1:39:00,M 19-34,21st
54th,Susannah Thompson,1:39:19,F 19-34,8th
55th,Paddy Oneill,1:39:49,M 40-44,10th
56th,Jake Holland,1:39:50,M 19-34,22nd
57th,Daniel Watkins,1:40:13,M 19-34,23rd
58th,Glenda Banaghan,1:40:19,F 50-54,1st
59th,Leanne Gilray,1:40:33,F 40-44,2nd
60th,Louise Cameron,1:40:33,F 40-44,3rd
61st,Nicola Sproule,1:40:43,F 45-49,2nd
62nd,David McLeod,1:40:46,M 19-34,24th
63rd,Anna Spinks,1:40:49,F 40-44,4th
64th,Brendon Ross,1:40:54,M 40-44,11th
65th,Rod Fraser,1:41:00,M 45-49,4th
66th,James Pigou,1:41:20,M 19-34,25th
67th,Mary-Clare Delahunty,1:41:21,F 50-54,2nd
