Position,Name,Bib,Time,Nationality,Category,Category Position,Gender,Gender Position
1,DANIEL JONES,2002,07:30:43,NZL,35-39,1,Male,1
2,JACOB BANTA,2029,07:56:55,USA,20-34,1,Male,2
3,MAX YANZICK,2027,08:01:12,NZL,20-34,2,Male,3
4,NICHOLAS HANDEL,2009,08:07:00,USA,20-34,3,Male,4
5,JANOSCH KOWALCZYK,2016,08:07:18,,35-39,2,Male,5
6,JIASHENG SHEN,2006,08:27:50,CHN,20-34,4,Male,6
7,MICHAEL VOSS,2020,08:29:27,NZL,20-34,5,Male,7
8,GARY CARLETON,2039,08:30:26,NZL,40-44,1,Male,8
9,COLE WATSON,2010,08:33:50,USA,35-39,3,Male,9
10,RUTH CROFT,3055,08:40:28,NZL,35-39,1,Female,1
11,CAITLIN FIELDER,2012,08:45:03,NZL,20-34,1,Female,2
12,LEONARD TERRY,2050,08:47:52,GBR,20-34,6,Male,10
13,HONOKA AKIYAMA,2018,08:59:41,JPN,20-34,2,Female,3
14,HOLLY RANSON,2036,09:17:05,AUS,35-39,2,Female,4
15,ESPADA GABRIEL,3029,09:29:41,FRA,35-39,4,Male,11
16,CARTER MIKKELSEN,2880,09:29:48,USA,20-34,7,Male,12
17,EDWARD EATON,2051,09:34:01,NZL,20-34,8,Male,13
18,KATIE ASMUTH,2023,09:37:19,USA,40-44,1,Female,5
19,ZOE MANNING,2033,09:42:39,AUS,20-34,3,Female,6
20,THOMAS HUGHES,2096,09:43:29,NZL,35-39,5,Male,14
21,ISAAC FISHLOCK,2052,09:52:28,AUS,20-34,9,Male,15
22,JOEL STANSLOSKI,2976,09:57:58,USA,40-44,2,Male,16
23,LOUIS SCHINDLER,2038,09:58:26,NZL,45-49,1,Male,17
24,ANNIE MYRVANG,2044,10:07:41,USA,35-39,3,Female,7
25,AARON SMITH,3057,10:09:06,AUS,35-39,6,Male,18
26,SAMUEL CONAN,3017,10:11:31,FRA,35-39,7,Male,19
27,JULIETTE SOULE,2032,10:18:28,NZL,20-34,4,Female,8
28,STEPHANIE AUSTON,2031,10:19:00,AUS,35-39,4,Female,9
29,PIERRE D'AURIOL,2079,10:32:35,FRA,20-34,10,Male,20
30,SIMON BUSWELL,2236,10:35:57,NZL,40-44,3,Male,21
31,LUCY BARTHOLOMEW,2025,10:39:27,AUS,20-34,5,Female,10
32,LANDON HALLORAN,2075,10:46:08,CAN,40-44,4,Male,22
33,MATHEW JOUBERT,3070,10:48:35,NZL,20-34,11,Male,23
34,FRANK WRIGHT,2108,10:50:27,NZL,35-39,8,Male,24
35,PHIL MURRAY,2080,10:50:53,NZL,45-49,2,Male,25
36,PAUL CAMUZAT,2054,10:51:42,FRA,20-34,12,Male,26
37,JEREMY MAY,2059,10:53:04,AUS,20-34,13,Male,27
38,ANDREW RUTHERDALE,2833,10:53:54,NZL,35-39,9,Male,28
39,BASTIEN-OLIVIER HAMMOND,3053,10:57:44,CAN,35-39,10,Male,29
40,JOSHUA KEATING,2966,11:02:33,NZL,20-34,14,Male,30
41,JUAN LOTERO,2093,11:05:50,COL,35-39,11,Male,31
42,BRENDAN VARTY,2077,11:05:52,NZL,35-39,12,Male,32
43,TIM BERGER,2071,11:06:04,,35-39,13,Male,33
44,ALEXIA DUQUESNE,2063,11:06:05,BEL,20-34,6,Female,11
45,EMMA GREY,2048,11:07:05,AUS,40-44,2,Female,12
46,MATTHEW BROWN,3076,11:10:33,NZL,20-34,15,Male,34
47,JAY WHITTEM,2838,11:12:36,AUS,40-44,5,Male,35
48,ANDREW CLARKSON,2061,11:16:16,AUS,35-39,14,Male,36
49,LAURA BUNGARD,2066,11:18:28,NZL,20-34,7,Female,13
50,JAMES MERWOOD,2072,11:21:29,NZL,20-34,16,Male,37
51,NATHAN BELL,3024,11:22:18,NZL,35-39,15,Male,38
52,MADISON HART,2056,11:22:29,USA,20-34,8,Female,14
53,JRGEN SCHMIDT,2149,11:23:38,,35-39,16,Male,39
54,GARETH MORRIS,2114,11:25:09,NZL,50-54,1,Male,40
55,RICHARD GUY,2241,11:26:35,NZL,20-34,17,Male,41
56,LOU CLIFTON,2047,11:27:29,AUS,50-54,1,Female,15
57,MORGAN GLAZIER,2035,11:28:02,GBR,20-34,18,Male,42
58,JONATHAN ARMSTRONG,2135,11:28:35,GBR,35-39,17,Male,43
59,MICHAEL COURTNEY,3088,11:32:44,NZL,40-44,6,Male,44
60,LOUIS BESSON,2078,11:34:33,FRA,20-34,19,Male,45
61,NATHAN O'SULLIVAN,2068,11:39:17,AUS,40-44,7,Male,46
62,EDOUARD BESNIER,2081,11:40:03,FRA,35-39,18,Male,47
63,ANDY COURNOYER,2853,11:45:56,CAN,35-39,19,Male,48
64,ALI CAMPBELL,2785,11:46:22,NZL,35-39,5,Female,16
65,JESSE BAILEY,2111,11:46:29,NZL,35-39,20,Male,49
66,JINHONG KIM,2893,11:47:10,KOR,20-34,20,Male,50
67,ISAAC MAYFIELD,2125,11:47:22,AUS,20-34,21,Male,51
68,CRAIG ROBINSON,2092,11:48:10,AUS,45-49,3,Male,52
69,THOMAS HORNBY,3071,11:50:58,NZL,20-34,22,Male,53
70,MIKE RIDDLE,2995,11:51:31,NZL,55-59,1,Male,54
71,ESTHER O'SULLIVAN,2060,11:52:50,IRL,45-49,1,Female,17
72,ZACHARY ELVEN,2969,11:54:15,AUS,20-34,23,Male,55
73,MATHEW BAKER,3085,11:56:09,NZL,50-54,2,Male,56
74,THOMAS AUGEREAU,2122,11:58:17,FRA,35-39,21,Male,57
75,NICHOLAS HEXTALL,2131,11:58:25,NZL,35-39,22,Male,58
76,ANNE-MARIE COOK,2064,12:02:43,AUS,45-49,2,Female,18
77,HUGO ABADIE,2143,12:06:08,FRA,20-34,24,Male,59
78,RAYMOND EDWARDS,2100,12:07:53,AUS,50-54,3,Male,60
79,ANNEKE PRICE,2106,12:08:40,NZL,35-39,6,Female,19
80,GARTH DAWSON,3083,12:12:24,NZL,60-64,1,Male,61
81,VINCENT MICHAELSEN,2829,12:19:09,NZL,40-44,8,Male,62
82,BAILEY CRANSTON,2863,12:19:20,NZL,20-34,25,Male,63
83,JULIEN DENDAS,2168,12:20:18,BEL,20-34,26,Male,64
84,DEAN CIAMARRA,2104,12:24:51,GBR,20-34,27,Male,65
85,BRIAN GARMONSWAY,2053,12:27:13,NZL,45-49,4,Male,66
86,JOSH BARNETT,2980,12:30:04,NZL,45-49,5,Male,67
87,HENRY BRAYBROOK,2074,12:31:44,NZL,35-39,23,Male,68
88,DORIAN GRAULT,2202,12:33:10,NZL,20-34,28,Male,69
89,ASH BARTLETT,2252,12:34:17,AUS,20-34,9,Female,20
90,LOUISA HUSE,2762,12:35:04,NZL,45-49,3,Female,21
91,STEPH NEVINS,2057,12:35:11,NZL,40-44,3,Female,22
92,JOASIA ZAKRZEWSKI,3073,12:36:52,GBR,50-54,2,Female,23
93,PETER GEARING,2102,12:42:26,AUS,20-34,29,Male,70
94,JOSEPH LOUGHNAN,3325,12:46:31,NZL,20-34,30,Male,71
95,LORA MARTIN,2090,12:47:31,NZL,20-34,10,Female,24
96,JAKE VEZA,2115,12:47:45,NZL,35-39,24,Male,72
97,EBONY DUNNE,2572,12:47:49,AUS,35-39,7,Female,25
98,LAURENT SARRAZIN,2922,12:48:11,FRA,40-44,9,Male,73
99,TIPENE WAIREPO,2251,12:48:47,NZL,35-39,25,Male,74
100,JASON MENZIES,2284,12:49:23,NZL,40-44,10,Male,75
101,RYAN M-W,2909,12:49:27,GBR,20-34,31,Male,76
102,DAVID POWER,2169,12:50:27,NZL,40-44,11,Male,77
103,JOHN WILLISON,2898,12:50:33,GBR,20-34,32,Male,78
104,MILAN CHICK,2147,12:51:23,NZL,20-34,33,Male,79
105,BLAINE HUDSON,2215,12:51:35,NZL,20-34,34,Male,80
106,ALEX SAFONOV,3077,12:52:02,NZL,35-39,26,Male,81
107,MARK JACKMAN,2224,12:54:10,NZL,35-39,27,Male,82
108,CALEB WEEKS,2136,12:54:34,NZL,35-39,28,Male,83
109,MARTIN ASHMORE,3048,12:56:54,AUS,50-54,4,Male,84
110,LEAH HANKEY,2817,12:57:28,NZL,20-34,11,Female,26
111,DEAN GORDON,3007,12:59:17,AUS,20-34,35,Male,85
112,SEAN STORY,2991,13:00:07,NZL,20-34,36,Male,86
113,FORD BOCKMAN,2957,13:00:11,NZL,20-34,37,Male,87
114,JESSICA REYNOLDS,2084,13:00:43,AUS,35-39,8,Female,27
115,ALINA JAGER,2134,13:01:22,,20-34,12,Female,28
116,LIAM KEARNS,2082,13:01:34,NZL,20-34,38,Male,88
117,QUENTIN FRANCK,2138,13:02:04,FRA,20-34,39,Male,89
118,SHANNON HARDING,2979,13:03:30,NZL,35-39,29,Male,90
119,JEREMY UPSON,2190,13:04:01,NZL,45-49,6,Male,91
120,PAUL MCHALE,2932,13:05:50,IRL,50-54,5,Male,92
121,GEORGE LUCAS,2101,13:06:03,GBR,20-34,40,Male,93
122,STEVE MISIANO,2386,13:07:33,USA,55-59,2,Male,94
