Position,Name,Bib,Time,Nationality,Category,Category Position,Gender,Gender Position
202,DEBORAH PHILLIPS,9063,02:31:10,NZL,45-49,15,Female,132
203,CINDY HONS,9075,02:32:03,FRA,35-39,14,Female,133
204,HUGO PEREIRA,9265,02:32:44,FRA,35-39,15,Male,71
205,OLIVER SHARP,9173,02:37:15,AUS,20-34,19,Male,72
206,ERIN STUCKEY,9086,02:37:29,NZL,45-49,16,Female,134
207,NICOLA JAMES,9126,02:37:33,NZL,45-49,17,Female,135
208,SUE KINSELLA,9047,02:37:33,NZL,50-54,12,Female,136
209,MONIKA MICHALIK,9231,02:38:46,,65-69,3,Female,137
210,GARY PEMBERTON,9017,02:39:36,NZL,55-59,4,Male,73
211,PENEL GARDINER,9085,02:39:36,NZL,60-64,13,Female,138
212,SKYE FORBES,9351,02:41:35,AUS,35-39,15,Female,139
213,DAVID FORBES,9346,02:42:34,NZL,70-74,3,Male,74
214,AMANDA FORBES,9353,02:42:35,NZL,65-69,4,Female,140
215,LARA SLABBERT,9068,02:50:32,NZL,20-34,42,Female,141
216,DEBORAH NESTI,9030,02:50:36,NZL,60-64,14,Female,142
217,SUZANNE COLBY,9061,02:54:24,AUS,55-59,18,Female,143
218,PAIGE COLBY,9070,02:54:26,AUS,20-34,43,Female,144
219,KATHRYN WEST,9039,02:55:46,NZL,65-69,5,Female,145
220,DENISE MANUEL,9137,02:56:55,NZL,65-69,6,Female,146
221,ISOBEL STOUT,9151,03:02:46,NZL,60-64,15,Female,147
222,OLIVIA HARDIE,9122,03:15:28,NZL,20-34,44,Female,148
223,MARIA HARDIE,9135,03:15:34,NZL,55-59,19,Female,149
224,NICOLA RICHARDS,9020,03:15:35,AUS,55-59,20,Female,150
225,NICKY KIM,9161,03:17:24,AUS,45-49,10,Male,75
226,BOKYUNG SEOL,9094,03:17:29,KOR,40-44,15,Female,151
227,NORMA SLABBERT,9118,03:56:04,NZL,75-79,1,Female,152
228,YERIM HAN,9130,04:28:53,KOR,45-49,18,Female,153
DNS,RACH V TEST,9194,,NZL,14-15,,Female,
DNS,HARRY GLEESON,9157,,AUS,20-34,,Male,
DNS,DARIA SINITSYNA,9049,,RUS,35-39,,Female,
DNS,HARRY GLEESON (#),,,AUS,20-34,,Male,
DNS,NGUYEN THU LE PHAM,9054,,,20-34,,Female,
DNS,THI HOANG PHUONG DANG,9041,,,55-59,,Female,
DNS,CHRISTINE FISK,9368,,NZL,35-39,,Female,
DNS,TORI BURNIE,9084,,AUS,20-34,,Female,
DNS,BRENDA PENMAN,9072,,NZL,55-59,,Female,
DNS,ALEX CREAK,9008,,GBR,35-39,,Male,
DNS,JESSICA KENNEDY,9220,,AUS,35-39,,Female,
DNS,MIA HAGARD,9071,,NZL,45-49,,Female,
DNS,VISHAL THACKER,9163,,NZL,40-44,,Male,
DNS,JOSHUA BOLLEN (#),,,NZL,40-44,,Male,
DNS,LOUISE HEARNS,9262,,IRL,55-59,,Female,
DNS,JAN LONEY,9079,,NZL,65-69,,Female,
DNS,LEE RADICH,9348,,NZL,45-49,,Female,
DNS,CORENE ORMSBY,9082,,NZL,55-59,,Female,
DNS,LEE CHARITY,9043,,NZL,75-79,,Female,
DNS,SARA TREEND (#),,,NZL,50-54,,Female,
DNS,ANTOINETTE PAGE,9087,,NZL,50-54,,Female,
DNS,BECS CARTER,9092,,NZL,40-44,,Female,
DNS,KATHLEEN MCNALLY (#),,,AUS,45-49,,Female,
