Position,Name,Bib,Time,Nationality,Category,Category Position,Gender,Gender Position,Run
256,KAREN PATTERSON,1385,30:10:05,NZL,50-59,10,Female,59,30:09:19
257,ROSS KINGSLEY,1437,30:10:46,AUS,50-59,34,Male,198,30:10:12
258,NINA SWEANEY,1183,30:12:58,AUS,40-49,28,Female,60,30:12:42
259,HARRY KIDBY,1436,30:13:59,NZL,30-39,64,Male,199,30:13:50
260,TOM BENSTED,1424,30:13:59,NZL,30-39,65,Male,200,30:13:49
261,STEVEN ROBERTSON,1154,30:15:48,AUS,40-49,75,Male,201,30:14:54
262,ANDREW VINTON,1410,30:22:01,USA,40-49,76,Male,202,30:21:55
263,SHAUN WHITEHOUSE,1195,30:23:16,AUS,50-59,35,Male,203,30:22:40
264,LIZ IRELAND,1084,30:24:27,NZL,60-69,2,Female,61,30:23:33
265,LYN ROBERTSON,1274,30:27:30,AUS,60-69,3,Female,62,30:26:44
266,JOSEPH SIBAL,1399,30:34:45,PHL,30-39,66,Male,204,30:34:27
267,DEEN ABU BAKAR,1287,30:45:46,NZL,40-49,77,Male,205,30:45:14
268,ANTHONY HALL,1476,30:45:52,GBR,30-39,67,Male,206,30:45:10
269,CLAUDIA KELLY,1483,30:45:52,NZL,30-39,19,Female,63,30:45:08
270,DAMIEN BROTHERTON,1304,30:45:56,AUS,40-49,78,Male,207,30:45:22
271,CHRISTOPHER KARL,1350,30:48:46,NZL,18-29,21,Male,208,30:48:40
272,WILL MARTIN,1537,30:48:46,AUS,30-39,68,Male,209,30:48:40
273,MEG MARTIN,1536,30:48:46,AUS,18-29,4,Female,64,30:48:40
274,TIM MOFFATT,1128,30:54:48,AUS,40-49,79,Male,210,30:53:58
275,SOPHIA KENNELLY,1353,30:55:09,NZL,50-59,11,Female,65,30:54:57
276,MICHELLE JOHNSON,1256,30:55:47,NZL,50-59,12,Female,66,30:55:03
277,RICHARD LAKE,1104,30:57:41,NZL,60-69,8,Male,211,30:57:11
278,PHIL GERARD,1055,30:58:44,NZL,50-59,36,Male,212,30:58:18
279,CORINNE FOURNIER,1324,30:58:44,CAN,30-39,20,Female,67,30:58:17
280,STEVE MACINTYRE,1490,30:59:11,AUS,50-59,37,Male,213,30:58:57
281,DAN FRANKLIN,1049,31:00:52,NZL,70+,1,Male,214,30:59:53
282,VINCENT BRANNIGAN,1017,31:04:21,NZL,60-69,9,Male,215,31:03:41
