Position,Name,Bib,Time,Nationality,Category,Category Position,Gender,Gender Position,Run
1,DAVID HAUNSCHMIDT,49,3:33:03,NZL,30-39,1,Male,1,3:33:03
2,PIOTR BABIS,3,3:40:02,POL,30-39,2,Male,2,3:40:02
3,CHARLES HAMILTON,2,3:40:47,AUS,18-29,1,Male,3,3:40:47
4,JONATHAN JACKSON,15,3:41:38,NZL,30-39,3,Male,4,3:41:38
5,BEN GATTING,6134,3:41:57,NZL,18-29,2,Male,5,3:41:57
6,ERIC CONCÉ,5172,3:42:22,NCL,40-49,1,Male,6,3:42:22
7,GERALD MACPHERSON,5458,3:42:41,AUS,30-39,4,Male,7,3:42:41
8,ALLIE MCLAUGHLIN,61,3:43:38,USA,30-39,1,Female,1,3:43:43
9,DAVID KILGORE,6113,3:44:03,USA,30-39,5,Male,8,3:44:03
10,FABIAN RAHN,18,3:46:42,DEU,30-39,6,Male,9,3:46:42
11,CAITLIN FIELDER,19,3:46:59,NZL,30-39,2,Female,2,3:46:59
12,KATE AVERY,30,3:54:52,GBR,30-39,3,Female,3,3:54:52
13,JACK OATES,5548,3:55:00,GBR,18-29,3,Male,10,3:55:00
14,NICK MUXLOW,5902,3:58:56,AUS,30-39,7,Male,11,3:58:56
15,RENEE CARDINAALS,35,3:59:10,NLD,18-29,1,Female,4,3:59:10
16,ANTON WEATHERHEAD,5809,3:59:33,GBR,18-29,4,Male,12,3:59:33
17,TROY HAROLD,4380,4:00:03,NZL,50-59,1,Male,13,4:00:03
18,MATTHEW PAYNE,38,4:00:10,NZL,30-39,8,Male,14,4:00:10
19,MORGAN PAYNE,4732,4:02:36,AUS,30-39,9,Male,15,4:02:36
20,JAMES HEGGIE,5341,4:02:49,AUS,30-39,10,Male,16,4:02:49
21,IAIN MACDONALD,5975,4:06:21,NZL,30-39,11,Male,17,4:06:21
22,ANDREW O'BRIEN,5549,4:07:36,AUS,50-59,2,Male,18,4:07:36
23,BERT KEMPENAERS,5391,4:10:52,BEL,30-39,12,Male,19,4:10:52
24,SEAMUS KELLY,5390,4:11:27,NZL,18-29,5,Male,20,4:11:27
25,GAUTHIER DURET,5241,4:12:16,FRA,18-29,6,Male,21,4:12:16
26,JACO DU PLESSIS,5233,4:15:26,NZL,40-49,2,Male,22,4:15:26
27,AMELIA LYTHE,5451,4:15:32,NZL,18-29,2,Female,5,4:15:32
28,MARION DELESPIERRE,25,4:15:39,FRA,30-39,4,Female,6,4:15:39
29,DUNCAN MORRISON,4674,4:17:33,NZL,30-39,13,Male,23,4:17:33
30,ROBBIE RAWLES,5620,4:17:40,NZL,30-39,14,Male,24,4:17:40
31,CAMERON GAVIN,4310,4:19:21,NZL,30-39,15,Male,25,4:19:21
