Position,Name,Bib,Time,Net Time,Category,Category Position,Gender,Gender Position,col10
1,PHIL COSTLEY,0001,02:35:00,02:34:58,VM40-49,1,M,1,view
2,ROSS MCINTYRE,0226,02:36:53,02:36:51,VM40-49,2,M,2,view
3,JESSE GIBBS,0121,02:41:18,02:41:16,M20-39,1,M,3,view
4,KARL AYREY,0458,02:45:35,02:45:34,M20-39,2,M,4,view
5,ANDREW REESE-JONES,0285,02:46:19,02:46:15,VM40-49,3,M,5,view
6,JONATHAN CREELMAN,0086,02:46:56,02:46:44,M20-39,3,M,6,view
7,MAX LUECKER,0195,02:48:08,02:48:04,M20-39,4,M,7,view
8,GRANANTAN BOYLE,0037,02:48:18,02:48:17,VM40-49,4,M,8,view
9,BEN TWYMAN,0352,02:48:59,02:48:50,M20-39,5,M,9,view
10,HUGH ABBISS,0437,02:49:22,02:49:18,M20-39,6,M,10,view
11,DAVID SLATER,0317,02:49:47,02:49:43,M20-39,7,M,11,view
12,JASON SWENEY,0397,02:50:07,02:50:03,M20-39,8,M,12,view
13,LIZA HUNTER-GALVAN,0002,02:50:26,02:50:24,VW40-49,1,F,1,view
14,VICTORIA BECK,0406,02:51:50,02:51:49,W20-39,1,F,2,view
15,KLAARTJE VAN SCHIE,0358,02:53:31,02:53:26,W20-39,2,F,3,view
16,MARK PATTON,0270,02:54:21,02:54:14,VM40-49,5,M,13,view
17,SETH CAMPBELL,0055,02:56:04,02:55:54,VM40-49,6,M,14,view
18,CLAUDE MEFFAN,0234,02:56:23,02:56:17,M20-39,9,M,15,view
19,KEVIN O'DONNELL,0263,02:56:31,02:56:27,M20-39,10,M,16,view
20,MARK WAREING,0367,02:57:47,02:57:44,VM50-59,1,M,17,view
21,PAUL SCHAAPVELD,0305,02:58:22,02:58:19,VM50-59,2,M,18,view
22,DEVERN BURCHETT,0048,02:58:37,02:58:34,VM40-49,7,M,19,view
23,GRANT CONWAY,0078,02:58:48,02:58:44,VM40-49,8,M,20,view
24,JJ WILSON,0464,02:59:32,02:59:26,M20-39,11,M,21,view
25,JEFF GREY,0410,02:59:39,02:59:37,VM40-49,9,M,22,view
26,CALLUM WICKS,0374,03:00:11,03:00:06,VM40-49,10,M,23,view
27,SHAUN COOPER,0080,03:00:12,03:00:04,VM40-49,11,M,24,view
28,DAVID CHAMBERLAIN,0416,03:01:01,03:00:46,VM40-49,12,M,25,view
29,TONY MCGUIRE,0224,03:02:46,03:02:43,VM40-49,13,M,26,view
30,MEL AITKEN,0010,03:02:50,03:02:42,W20-39,3,F,4,view
31,RUSSELL WORDSWORTH,0385,03:05:01,03:04:49,M20-39,12,M,27,view
32,KARL BAXTER,0022,03:08:33,03:08:26,M20-39,13,M,28,view
33,CHRISTOPHER DWYER,0101,03:08:59,03:08:55,VM60-69,1,M,29,view
34,GERARD BELL,0026,03:09:02,03:08:44,M20-39,14,M,30,view
35,JOSEPH GEE,0119,03:09:41,03:09:18,M20-39,15,M,31,view
36,PAUL CALDER,0054,03:09:45,03:09:41,VM40-49,14,M,32,view
37,RICK WALKER,0363,03:10:33,03:10:24,VM40-49,15,M,33,view
38,RICHARD MCBREARTY,0213,03:11:37,03:11:20,M20-39,16,M,34,view
39,ANNABELLE BRAMWELL,0039,03:11:45,03:11:28,W20-39,4,F,5,view
40,RICHARD HILLS,0148,03:12:50,03:12:40,M20-39,17,M,35,view
41,PETER BLACK,0407,03:13:43,03:13:37,VM50-59,3,M,36,view
42,MEL ORANGE,0264,03:13:46,03:13:34,VM40-49,16,M,37,view
43,ROBERT LOVERIDGE,0457,03:14:07,03:13:56,VM40-49,17,M,38,view
44,JAMES HOOGENBOEZEM,0155,03:14:17,03:13:59,M20-39,18,M,39,view
45,JASON GARDINER,0118,03:14:31,03:14:25,VM40-49,18,M,40,view
46,HILARY WICKS,0375,03:15:25,03:15:19,W20-39,5,F,6,view
47,MICHAEL DALL-HJORRING,0089,03:16:17,03:16:07,VM40-49,19,M,41,view
48,MICHAEL SMITH,0452,03:16:22,03:16:20,M20-39,19,M,42,view
49,SHANNON-LEIGH LITT,0455,03:16:37,03:16:35,W20-39,6,F,7,view
50,CHRISTOPHER HOLMES,0152,03:16:49,03:16:22,M20-39,20,M,43,view
51,CRAIG PAGE,0265,03:16:57,03:16:52,VM40-49,20,M,44,view
52,CONAN YOUNG,0389,03:17:43,03:17:37,M20-39,21,M,45,view
53,NICK BROWN,0044,03:17:45,03:17:39,M20-39,22,M,46,view
54,SHANE SCOTT,0310,03:18:22,03:18:14,M20-39,23,M,47,view
55,CARRIE LEE,0405,03:18:26,03:18:21,W20-39,7,F,8,view
56,NIGEL MORRIS,0249,03:18:57,03:18:54,M20-39,24,M,48,view
57,MARIA KROONENBERG,0183,03:19:38,03:19:33,VW40-49,2,F,9,view
58,GEOFF GILFEDDER,0124,03:20:18,03:18:56,VM40-49,21,M,49,view
59,SIMON TRYE,0348,03:20:27,03:19:35,M20-39,25,M,50,view
60,ANDREW CHANG,0066,03:21:24,03:20:59,VM50-59,4,M,51,view
61,ANDY LEONARD,0189,03:21:59,03:21:30,VM40-49,22,M,52,view
62,SIMON MUNRO,0252,03:23:50,03:23:41,M20-39,26,M,53,view
63,FRANK LEADER,0187,03:24:03,03:23:33,M20-39,27,M,54,view
64,STEPHEN MCCORMICK,0217,03:24:22,03:23:51,VM40-49,23,M,55,view
65,TONY FRANSEN,0402,03:24:46,03:24:03,M20-39,28,M,56,view
66,JOSEPH CAREW BOURKE,0059,03:25:15,03:25:07,M20-39,29,M,57,view
66,DAN MCKENZIE,0228,03:25:15,03:24:36,M20-39,29,M,57,view
68,CRAIG DUNNETT,0100,03:25:58,03:25:37,M20-39,31,M,59,view
69,NEIL CHRISTIAN,0425,03:26:38,03:25:53,VM40-49,24,M,60,view
70,SIMON ROBERTS,0295,03:26:47,03:26:12,M20-39,32,M,61,view
71,UDDIPAN BROWN,0408,03:27:08,03:26:57,VM50-59,5,M,62,view
72,RICHARD LEARY,0426,03:27:25,03:26:44,M20-39,33,M,63,view
73,STEPHEN WOOD,0383,03:27:47,03:27:19,VM40-49,25,M,64,view
74,CRAIG PERRY,0420,03:27:52,03:27:09,VM40-49,26,M,65,view
75,LISA BRIGNULL,0040,03:28:11,03:28:07,W20-39,8,F,10,view
76,ISAK MEYER,0236,03:28:13,03:28:07,M20-39,34,M,66,view
77,NICOLA LEETE,0424,03:28:16,03:27:51,W20-39,9,F,11,view
78,PHIL RICHARDS,0288,03:28:57,03:28:52,VM40-49,27,M,67,view
79,LEE WRIGHT,0386,03:29:24,03:29:19,VW40-49,3,F,12,view
80,ANDREW WYLLIE,0428,03:29:52,03:28:27,VM40-49,28,M,68,view
81,NICHOLAS JOHNSON,0165,03:29:54,03:28:28,VM40-49,29,M,69,view
82,GLEN MITCHELL,0242,03:30:01,03:29:09,M20-39,35,M,70,view
83,ANDREW BRADY,0440,03:30:27,03:29:39,M20-39,36,M,71,view
84,SAM TWYMAN,0353,03:30:30,03:29:38,M20-39,37,M,72,view
85,SIMON WILLIAMS,0378,03:30:31,03:29:55,M20-39,38,M,73,view
86,RICHARD YOUNG,0393,03:30:47,03:30:05,VM50-59,6,M,74,view
87,KELLY MCSORILEY,0230,03:30:51,03:30:36,VM40-49,30,M,75,view
88,RICHARD BOYCE,0035,03:31:22,03:30:27,VM40-49,31,M,76,view
89,JOHN FREDERICKSEN,0403,03:31:25,03:30:27,VM40-49,32,M,77,view
90,JASON GALE,0115,03:31:41,03:31:05,M20-39,39,M,78,view
91,LARRY GOLDFARB,0128,03:32:09,03:31:59,VM50-59,7,M,79,view
