Position,Name,Time,Category,Category Position
1st,Stephen Parker,2:48:00.39,M 40-99,1st
2nd,Tom Hargreaves,2:52:49.91,M  0-39,1st
3rd,Jon-Paul Heather,2:55:37.05,M  0-39,2nd
4th,Andrew Kerr,2:58:54.99,M 40-99,2nd
5th,Reuben Tomlinson,2:59:17.24,M  0-39,3rd
6th,Matapuku Robati,3:01:20.21,M 40-99,3rd
7th,Bruce Edwards,3:03:32.76,M 40-99,4th
8th,John Forrest,3:08:34.61,M 40-99,5th
9th,Cory McMillan,3:15:28.16,M  0-39,4th
10th,Paul Wraight,3:15:42.03,M 40-99,6th
11th,Simon Pitman,3:22:47.55,M  0-39,5th
12th,Carl Laffan,3:23:36.25,M 40-99,7th
13th,Timothy Andrews,3:25:41.18,M  0-39,6th
14th,James Bryant Bland,3:26:41.95,M  0-39,7th
15th,Sam Jeffries,3:26:45.60,M  0-39,8th
16th,Hamish Reid,3:33:04.50,M  0-39,9th
17th,Scott Hotham,3:34:14.65,M 40-99,8th
18th,William Young,3:39:53.88,M  0-39,10th
19th,Dennis Seitz,3:39:54.60,M 40-99,9th
20th,Hugh Tinker,3:44:34.68,M  0-39,11th
21st,Barry Watson,3:48:33.32,M 40-99,10th
22nd,Ainsley Smith,3:49:21.47,M 40-99,11th
23rd,Glenn Wingate,3:54:31.65,M 40-99,12th
24th,Michael Simons,3:55:24.97,M 40-99,13th
25th,Ellie Bowen,3:57:42.34,F  0-39,1st
26th,Fred Mwila,4:03:29.96,M 40-99,14th
27th,Nicky Scott,4:04:16.11,F 40-99,1st
28th,Josh Lazzari,4:10:13.73,M 40-99,15th
29th,Rob Smith,4:11:45.77,M  0-39,12th
30th,Mike Fisher,4:12:52.21,M 40-99,16th
31st,Barb Carson,4:13:38.48,F 40-99,2nd
32nd,Annie McCabe,4:17:09.54,F 40-99,3rd
33rd,Michelle Parker,4:22:02.48,F 40-99,4th
34th,Natalie Waugh,4:24:49.49,F  0-39,2nd
35th,Bill Richardson,4:26:30.55,M 40-99,17th
36th,Floro Astronomia,4:31:18.40,M 40-99,18th
37th,Anne-Marie Lyngbye,4:37:26.13,F 40-99,5th
38th,Mignon Stevenson,4:39:00.80,F 40-99,6th
39th,Liam Cosford,4:41:49.03,M  0-39,13th
40th,Alissa Murdoch,4:42:16.72,F  0-39,3rd
41st,Shaun O'Brien,4:44:49.98,M 40-99,19th
42nd,Michael Nilsson,4:48:26.28,M 40-99,20th
43rd,David Hill,4:50:56.03,M  0-39,14th
44th,Kieran Gilsenan,4:52:44.43,M  0-39,15th
45th,Caleb Collins-Fore,4:52:45.07,M  0-39,16th
46th,Perrie Toomer,4:55:02.65,M  0-39,17th
47th,Stephanie Leggett,5:00:39.12,F  0-39,4th
48th,Josh Trott,5:00:40.90,M  0-39,18th
49th,Michael Stewart,5:08:23.74,M 40-99,21st
50th,Graeme Tindall,5:19:54.07,M 40-99,22nd
51st,Rebecca Edgecombe,5:20:28.65,F 40-99,7th
52nd,Angelia Beamsley,5:23:17.91,F 40-99,8th
53rd,Bruce Anderson,5:28:49.90,M 40-99,23rd
54th,Carol Bielby,5:29:58.43,F 40-99,9th
55th,Michele Garrett,5:29:58.43,F 40-99,10th
56th,Ajeet Kumar,5:30:37.33,M 40-99,24th
57th,Kady C,5:37:57.05,F 40-99,11th
58th,Fleur Cutfield,5:42:34.09,F  0-39,5th
59th,Liz Ireland,5:42:34.09,F 40-99,12th
60th,Judy Brock,5:42:34.39,F 40-99,13th
61st,Christina Riddell,5:49:12.43,F 40-99,14th
62nd,Jason Coxhead,5:56:10.29,M 40-99,25th
63rd,Eleanor Hamilton,6:09:56.60,F 40-99,15th
64th,Rhys Davey,6:15:49.94,M 40-99,26th
65th,Andrew Fifita-Lamb,6:15:50.52,M 40-99,27th
66th,Dennis Hunt,6:19:09.12,M 40-99,28th
67th,Donna Hicks,6:19:12.93,F 40-99,16th
68th,Anthony Te Wekepiri,6:19:20.17,M 40-99,29th
69th,Stephen Tubbs,6:55:47.90,M 40-99,30th
70th,Monica Tate,6:58:11.26,F 40-99,17th
71st,Alan Fish,6:58:12.50,M 40-99,31st
72nd,Jamie Munro,6:58:12.58,M  0-39,19th
73rd,Jackie Aitken,6:58:13.77,F 40-99,18th
74th,Norman Chan,6:58:14.19,M 40-99,32nd
75th,Patricia Stichbury,6:58:15.34,F 40-99,19th
