Position,Name,Time,Category,Category Position
1st,Michael Aish,1:18:50.99,M 40-44,1st
2nd,Dean Cash,1:19:35.73,M 40-44,2nd
3rd,Chris Lines,1:21:07.47,M 19-34,1st
4th,Dan Swale,1:21:22.74,M 19-34,2nd
5th,Jordan Miller,1:24:41.50,M 19-34,3rd
6th,David Wells,1:26:00.14,M 19-34,4th
7th,Nick Howe,1:26:52.65,M 35-39,1st
8th,Jason Daws,1:28:05.70,M 45-49,1st
9th,Damon Nicholas,1:28:15.80,M 35-39,2nd
10th,Damon Dravitzki,1:29:44.41,M 40-44,3rd
11th,Sam Merson,1:32:33.07,M 19-34,5th
12th,Fergus Scott,1:32:37.46,M 19-34,6th
13th,Greg Clark,1:34:45.78,M 45-49,2nd
14th,Chris Jacques,1:37:08.30,M 19-34,7th
15th,Hugh Miller,1:37:09.45,M 55-59,1st
16th,Matt Velde,1:37:18.48,M 45-49,3rd
17th,David Wackrow,1:37:48.58,M 55-59,2nd
18th,Phil Thompson,1:40:14.84,M 45-49,4th
19th,Willie Gunn,1:41:00.70,M 45-49,5th
20th,Bevan Soothill,1:41:01.48,M 45-49,6th
21st,Seth Coleman,1:41:09.15,M 19-34,8th
22nd,Lesley Graham,1:42:18.41,F 60-64,1st
23rd,Rachel McKinnon,1:42:42.50,F 45-49,1st
24th,Hisan Wahab,1:43:01.73,M 35-39,3rd
25th,Tim Cloake,1:43:38.51,M 19-34,9th
26th,Rosie McIntyre,1:44:01.12,F 40-44,1st
27th,Richard Smith,1:44:56.55,M 19-34,10th
28th,Tim Coleman,1:45:45.97,M 19-34,11th
29th,Ernst Olsen,1:47:23.04,M 50-54,1st
30th,Chris Thrupp,1:47:57.52,M 55-59,3rd
31st,Tobias Bunn,1:48:21.08,M 40-44,4th
32nd,Andy Glasgow,1:48:25.18,M 35-39,4th
33rd,Jason White,1:49:10.70,M 35-39,5th
34th,Tracey Davis,1:51:50.59,F 40-44,2nd
35th,Darcy Mellsop,1:52:20.79,M 45-49,7th
36th,Seraia Davis,1:52:21.14,M 45-49,8th
37th,Don Weston,1:53:43.73,M 60-64,1st
38th,Judith Bensley,1:53:58.62,F 45-49,2nd
