Position,Name,Time,Category,Category Position
1st,Bart Ferguson,42:32.69,M 19-34,1st
2nd,Chris Jacques,42:57.21,M 19-34,2nd
3rd,Chris Smith,44:58.39,M 55-59,1st
4th,Richard Ash,45:09.63,M 35-39,1st
5th,Andrew Bennetts,45:42.17,M 35-39,2nd
6th,Rob Dabb,45:43.96,M 60-64,1st
7th,Matthew Calvert,46:19.27,M 19-34,3rd
8th,Josh Verhoek,46:32.90,M 19-34,4th
9th,Patricio Jofre,46:34.21,M 45-49,1st
10th,Levi Akkerman,46:41.37,M 12-18,1st
11th,Murray Wright,48:21.20,M 45-49,2nd
12th,Anita Chan,48:34.19,F 19-34,1st
13th,Keenan Spink,49:53.67,M 12-18,2nd
14th,Robbie Clark,50:38.84,M 55-59,2nd
15th,Sandy Lee,50:50.49,F 35-39,1st
16th,Charlene Foong,51:06.15,F 19-34,2nd
17th,Jordan Sabine,53:05.12,M 19-34,5th
18th,Denyse Graham,54:23.04,F 50-54,1st
19th,Michael Rachlin,55:06.19,M 50-54,1st
20th,Gabrielle O'connell,55:07.75,F 19-34,3rd
21st,Baoshan Jiang,55:16.68,F 19-34,4th
22nd,Conal Soothill,55:30.64,M 12-18,3rd
23rd,Liz Anderson,55:48.75,F 45-49,1st
24th,Kate King,55:52.09,F 19-34,5th
25th,Tanja Grunwald,57:08.97,F 50-54,2nd
26th,Jeremy Cooper,57:11.81,M 19-34,6th
27th,Katelyn Brown,57:19.94,F 19-34,6th
28th,Stephen Lunn,57:21.85,M 40-44,1st
29th,Renee Warner,57:24.03,F 19-34,7th
30th,Joshua Trimmer,57:24.37,M 19-34,7th
31st,Caleb Lewis,58:38.62,M 19-34,8th
32nd,Craig Jarrett,59:02.01,M 50-54,2nd
33rd,Ina Donat,59:49.49,F 55-59,1st
34th,Dizzy Snoxell,59:51.65,F 55-59,2nd
35th,Micaela Lewis,59:54.68,F 19-34,8th
36th,Josh Pound,59:58.70,M 19-34,9th
37th,John Ransom,1:00:16.80,M 70-74,1st
38th,Ian Dawson,1:00:24.22,M 60-64,2nd
39th,Davene Vroon,1:00:31.88,F 40-44,1st
40th,Austin Gilmore,1:01:19.53,M 19-34,10th
41st,John Brugh,1:02:03.70,M 75-99,1st
42nd,Meng Tong,1:02:14.37,F 19-34,9th
43rd,Jemma Gordon,1:02:19.13,F 19-34,10th
44th,Bruce Baldwin,1:02:27.92,M 60-64,3rd
45th,Steve Rossiter,1:02:31.49,M 55-59,3rd
46th,Brooke Lock,1:02:32.64,F 19-34,11th
47th,Leigh Solomon,1:02:34.12,F 35-39,2nd
48th,Raewyn Tweeddale,1:02:36.87,F 19-34,12th
49th,Kalvin Field,1:03:05.49,M 35-39,3rd
50th,Waynejim Torcato,1:03:06.97,M 19-34,11th
51st,Sarah Brittain,1:03:56.37,F 35-39,3rd
52nd,Melanie Evans,1:04:16.96,F 45-49,2nd
53rd,Judy Rayner,1:04:33.34,F 60-64,1st
54th,Dan Bowman,1:04:34.41,M 45-49,3rd
55th,Paul Gee,1:04:37.86,M 55-59,4th
56th,Roland Donat,1:05:24.67,M 55-59,5th
57th,Emma Verhoek,1:05:26.82,F 19-34,13th
58th,Laura Thompson,1:05:59.13,F 19-34,14th
59th,Morgan Rush,1:06:00.00,F 19-34,15th
60th,Jaimie Whitehead,1:06:10.49,F 19-34,16th
61st,Prue Paulger,1:06:21.26,F 65-69,1st
62nd,Paul Isom,1:06:22.12,M 19-34,12th
