Position,Name,Time,Category,Category Position
1st,Wojciech Kopec,2:38:37.06,M  0-39,1st
2nd,Blair Coleman,2:45:18.62,M 40-99,1st
3rd,Simon Angus,2:46:28.49,M  0-39,2nd
4th,Michael Richardson,2:58:26.03,M  0-39,3rd
5th,Karl Kalders,3:03:07.27,M 40-99,2nd
6th,Matt Bailey,3:11:38.81,M 40-99,3rd
7th,Rory Vere,3:16:00.53,M 40-99,4th
8th,Simon Pitman,3:18:29.97,M  0-39,4th
9th,Daniel Brown,3:21:24.92,M  0-39,5th
10th,Emma O'Rourke,3:22:49.46,F  0-39,1st
11th,Thomas Deighton,3:25:01.41,M  0-39,6th
12th,Jacob Taylor,3:26:25.29,M 40-99,5th
13th,Jeremy Lane,3:27:15.58,M  0-39,7th
14th,Willie Gunn,3:28:40.90,M 40-99,6th
15th,Matt Ibbotson,3:29:12.63,M  0-39,8th
16th,Karol Stanski,3:39:01.20,M  0-39,9th
17th,Paul Curran,3:40:12.45,M 40-99,7th
18th,Daniel White,3:40:22.19,M 40-99,8th
19th,Craig Pontifex,3:44:18.58,M 40-99,9th
20th,Mike Fisher,3:48:31.11,M 40-99,10th
21st,Joe Hartley,3:50:16.84,M  0-39,10th
22nd,Sophie Nabbs,3:50:30.55,F  0-39,2nd
23rd,Stuart Steenson,3:52:23.62,M 40-99,11th
24th,Ella Herd,3:52:46.54,F  0-39,3rd
25th,Isadora Kennedy-Martel,3:54:52.36,F  0-39,4th
26th,Adam Cockburn,3:55:06.98,M 40-99,12th
27th,Ruth Spicer,3:55:39.77,F 40-99,1st
28th,Robbie Cargill,4:05:19.25,M 40-99,13th
29th,Erin Wheeler,4:08:04.41,F 40-99,2nd
30th,Seraia Davis,4:10:56.96,M 40-99,14th
31st,Matt Ansley,4:11:35.79,M  0-39,11th
32nd,Aud Schnell,4:12:30.14,M  0-39,12th
33rd,Tania Don,4:16:40.77,F  0-39,5th
34th,Andy Dawson,4:17:06.90,M 40-99,15th
35th,Renata Blanchfield,4:21:10.90,F 40-99,3rd
36th,Dawn Grey,4:24:23.56,F 40-99,4th
37th,Nicky Scott,4:26:01.34,F 40-99,5th
38th,Peter Roscoe,4:27:14.41,M 40-99,16th
39th,Simon Smith,4:27:50.03,M  0-39,13th
40th,Mignon Stevenson,4:33:21.09,F 40-99,6th
41st,Phil Ord,4:36:47.65,M 40-99,17th
42nd,Ridzuan Yusoh,4:37:43.34,M 40-99,18th
43rd,Pol Wiseman,4:38:14.64,M  0-39,14th
44th,Che Puchailo,4:40:42.70,M  0-39,15th
45th,Louis Metson,4:44:49.53,M  0-39,16th
46th,Richard Roberts,4:46:59.39,M  0-39,17th
47th,Bill Richardson,5:00:26.92,M 40-99,19th
48th,Harry Black,5:04:15.97,M  0-39,18th
49th,Kris Gledhill,5:09:08.80,M 40-99,20th
50th,Jonathon Boyd,5:09:25.66,M  0-39,19th
51st,Amber Andrews,5:11:43.88,F  0-39,6th
52nd,Albie Jane,5:13:00.42,M 40-99,21st
53rd,Matewai Tukapua,5:16:13.17,F 40-99,7th
54th,Sandy Weltan,5:25:55.70,F 40-99,8th
55th,Tom Culy,5:28:45.56,M 40-99,22nd
56th,Ian Craig,5:51:38.56,M 40-99,23rd
57th,Michael Stewart,6:05:23.14,M 40-99,24th
58th,Heaven Hamer,6:19:03.01,F  0-39,7th
59th,Rhys Davey,6:19:47.41,M 40-99,25th
60th,Jackie Aitken,6:35:33.56,F 40-99,9th
61st,Anne Fredricsen,6:58:06.49,F 40-99,10th
62nd,Michael Gibbons,6:59:56.67,M  0-39,20th
63rd,Carol Lahood,7:09:29.98,F 40-99,11th
64th,Norman Chan,7:09:30.98,M 40-99,26th
65th,Eleanor Hamilton,7:09:53.31,F 40-99,12th
66th,Mel Tuineau,7:43:27.93,F 40-99,13th
