Position,Name,Time,Category,Category Position
1st,Hayden Zervos,36:54.22,M 19-34,1st
2nd,Tim Ashby-Peckham,42:40.07,M 19-34,2nd
3rd,John O'Connell,42:43.10,M 19-34,3rd
4th,Theo Tripe,43:18.69,M 10-18,1st
5th,Darcy Mellsop,43:48.99,M 50-54,1st
6th,Jalana Smith,44:11.43,F 19-34,1st
7th,Grace Hessell,44:38.66,F 19-34,2nd
8th,Richard Beaton,45:04.99,M 45-49,1st
9th,Jason Daws,46:01.57,M 45-49,2nd
10th,Amanda Wallis,46:06.11,F 35-39,1st
11th,Joanna Rybacka,46:41.42,F 35-39,2nd
12th,Karna Tui,46:58.18,M 19-34,4th
13th,Conal Soothill,48:08.07,M 19-34,5th
14th,Jason Rosser,48:20.22,M 50-54,2nd
15th,Tim Robbins,48:25.13,M 40-44,1st
16th,Te Wainui Mansell,48:35.41,M 19-34,6th
17th,Wendy Cottrell-Teahan,48:43.13,F 50-54,1st
18th,Eduardo Alomo Alvarez,48:53.88,M 19-34,7th
19th,Gareth Hawker,49:07.11,M 40-44,2nd
20th,Tim Oliver,49:21.61,M 35-39,1st
21st,Carl Laffan,49:39.79,M 45-49,3rd
22nd,Kate Malcolm,50:14.08,F 19-34,3rd
23rd,Maria Kenny,50:48.49,F 50-54,2nd
24th,Alysa O'Donnell,51:25.66,F 19-34,4th
25th,Damian Andrews,51:33.60,M 35-39,2nd
26th,Michael Rachlin,52:22.02,M 55-59,1st
27th,Darcy Johnston,52:31.49,M 10-18,2nd
28th,Jaiden Toy,52:49.91,M 10-18,3rd
29th,Sam Penwarden,53:27.42,M 10-18,4th
30th,Brent Hussey,53:33.35,M 55-59,2nd
31st,Josefina Rioseco,53:41.30,F 19-34,5th
32nd,Sinead Collins,54:40.74,F 19-34,6th
33rd,Kaleigh Morris,55:05.61,F 19-34,7th
34th,Andrew Tripe,55:06.61,M 50-54,3rd
35th,Logan McBride,55:09.92,M 10-18,5th
36th,Floyd Phillips,55:18.71,M 10-18,6th
37th,Fraser Watson,56:10.59,M 50-54,4th
38th,Andrew Lynch,56:31.32,M 55-59,3rd
