Position,Name,Time,Category,Category Position
1st,Michael Voss,2:27:26.53,M  0-39,1st
2nd,Anthony Wood,2:45:14.00,M 40-99,1st
3rd,Luke Watts,2:48:33.43,M  0-39,2nd
4th,Malte Niebling,3:00:08.58,M  0-39,3rd
5th,Alistair Richardson,3:06:44.28,M  0-39,4th
6th,Rory Vere,3:10:21.81,M 40-99,2nd
7th,Sam Kelly,3:12:36.86,M 40-99,3rd
8th,Karl Kalders,3:13:17.09,M 40-99,4th
9th,Ignacio De Maio,3:16:54.89,M  0-39,5th
10th,Simon Pitman,3:30:53.10,M  0-39,6th
11th,Raymond Morrell,3:35:14.18,M 40-99,5th
12th,Mike Fisher,3:36:46.46,M 40-99,6th
13th,Reece Pickering,3:38:43.15,M 40-99,7th
14th,Ohhyun Kim,3:43:37.49,M 40-99,8th
15th,Emma O'Rourke,3:45:05.30,F  0-39,1st
16th,Philip Brgg,3:46:05.78,M 40-99,9th
17th,Carl Laffan,3:47:31.18,M 40-99,10th
18th,James Ibell-Roberts,3:48:28.81,M  0-39,7th
19th,Diana Benavides Prado,3:51:12.96,F  0-39,2nd
20th,Nicky Scott,4:05:18.02,F 40-99,1st
21st,Chris Cairns,4:09:12.48,M  0-39,8th
22nd,Katie Mathieson,4:09:31.99,F 40-99,2nd
23rd,Kathleen Kirton,4:14:37.60,F 40-99,3rd
24th,Natasha Jensen,4:16:37.86,F 40-99,4th
25th,Geoff Watson,4:19:30.41,M 40-99,11th
26th,Ridzuan Yusoh,4:19:41.44,M  0-39,9th
27th,Andrew Dawson,4:20:54.78,M 40-99,12th
28th,Susan Clare,4:24:32.25,F 40-99,5th
29th,Heather Du Plooy,4:25:26.32,F  0-39,3rd
30th,Tracey Davis,4:25:45.62,F 40-99,6th
31st,Ian Porten,4:31:56.17,M 40-99,13th
32nd,Cameron Hopkins,4:32:07.71,M  0-39,10th
33rd,Jt Vuetibau,4:32:40.82,M  0-39,11th
34th,Christopher Puchailo,4:39:21.15,M  0-39,12th
35th,Mignon Stevenson,4:51:55.52,F 40-99,7th
36th,Sonna Narayanan,4:58:55.00,F  0-39,4th
37th,Bill Richardson,5:00:22.38,M 40-99,14th
38th,Seraia Davis,5:00:56.10,M 40-99,15th
39th,Kerry Wilson,5:01:17.90,M 40-99,16th
40th,Jeremy Lee,5:03:13.22,M  0-39,13th
41st,Patricia Stichbury,5:53:22.25,F 40-99,8th
42nd,Dennis Hunt,5:53:37.63,M 40-99,17th
43rd,Lyndsey Anselmi,5:54:20.46,F 40-99,9th
44th,Clive Eastwood,5:57:43.74,M 40-99,18th
45th,Gareth Teahan,6:08:32.71,M 40-99,19th
46th,Don Nicolson,6:10:51.51,M 40-99,20th
47th,Liz Ireland,6:24:40.85,F 40-99,10th
48th,Kiri Price,6:24:41.57,F 40-99,11th
49th,Ronald Chen,6:28:24.52,M 40-99,21st
50th,Rhys Davey,6:45:21.07,M 40-99,22nd
51st,Therese McQuoid,6:45:21.17,F 40-99,12th
52nd,Eleanor Hamilton,7:07:57.35,F 40-99,13th
53rd,Jackie Aitken,7:07:57.97,F 40-99,14th
54th,Norman Chan,7:07:58.14,M 40-99,23rd
55th,Anne Fredricsen,7:23:50.24,F 40-99,15th
56th,Ross Steele,7:33:36.98,M 40-99,24th
DNF,Michael Stewart,DNF,M 40-99,DNF
DNF,Jacob Taylor,DNF,M 40-99,DNF
DNF,Damien Fitzpatrick,DNF,M 40-99,DNF
DNF,Aalap Patel,DNF,M  0-39,DNF
