Position,Name,Time,Category,Category Position
1st,Glenn Haden,1:17:48.58,M 40-44,1st
2nd,David Rawnsley,1:18:16.46,M 19-34,1st
3rd,Nathan McKinlay,1:23:37.92,M 35-39,1st
4th,Oliver Fahey,1:24:03.55,M 19-34,2nd
5th,Denis Owen,1:25:30.45,M 40-44,2nd
6th,Alex Gilbert,1:26:38.88,M 35-39,2nd
7th,Thomas Valentine,1:27:18.94,M 35-39,3rd
8th,Damon Nicholas,1:27:35.48,M 35-39,4th
9th,Sally Gibbs,1:27:55.31,F 60-64,1st
10th,Josh Barnett,1:29:04.84,M 45-49,1st
11th,James Campbell,1:29:14.07,M 19-34,3rd
12th,Karl Jackson,1:29:40.94,M 35-39,5th
13th,Sophie Whelan,1:29:55.68,F 19-34,1st
14th,Chris Jacques,1:30:15.76,M 35-39,6th
15th,Ben Swift,1:30:17.21,M 19-34,4th
16th,Stephen Kuni,1:30:26.19,M 19-34,5th
17th,Nathan Carey,1:30:29.50,M 40-44,3rd
18th,Lucy Oliver,1:30:34.13,F 35-39,1st
19th,Fergus Conley,1:32:09.74,M 19-34,6th
20th,Jamie Sicely,1:32:42.39,M 35-39,7th
21st,Robert Logan,1:32:56.21,M 19-34,7th
22nd,Matt Cherri,1:33:01.38,M 50-54,1st
23rd,Rhys Wingate,1:33:21.38,M 35-39,8th
24th,Rhys Dawson,1:33:50.33,M 19-34,8th
25th,Andrew Bendall,1:35:08.30,M 55-59,1st
26th,Charlotte Burgess,1:35:19.34,F 19-34,2nd
27th,Dayle Cheatley,1:35:51.28,M 40-44,4th
28th,Casey Mante,1:35:58.41,F 35-39,2nd
29th,Gareth Edlin,1:36:18.35,M 40-44,5th
30th,Sam Boase,1:37:24.49,M 19-34,9th
31st,Andrew Gifkins,1:37:50.50,M 40-44,6th
32nd,Curtis Bunker,1:38:57.01,M 19-34,10th
33rd,Geoff Lovell,1:39:18.91,M 50-54,2nd
34th,Rosie McIntyre,1:39:53.26,F 45-49,1st
35th,Hisan Wahab,1:40:24.27,M 35-39,9th
36th,Brett Edgcombe,1:40:32.82,M 19-34,11th
37th,Tom Poole,1:40:44.89,M 19-34,12th
38th,Brandon Jeffcoat,1:40:46.32,M 19-34,13th
39th,Abraham Bstlajeri,1:42:53.95,M 50-54,3rd
40th,David Brokenshire,1:43:16.07,M 60-64,1st
41st,Matthew Rennie,1:43:35.96,M 45-49,2nd
42nd,Sophia Magnoli,1:43:36.23,F 19-34,3rd
43rd,Liam Jefferies,1:43:44.87,M 19-34,14th
44th,Ella Jones,1:44:11.12,F 19-34,4th
45th,Peter Woodhead,1:44:33.29,M 35-39,10th
46th,Brodie Campbell,1:45:08.69,M 10-18,1st
47th,Bernie Smith,1:45:16.12,M 35-39,11th
48th,Marcel Beloqui Evardone,1:45:19.87,M 19-34,15th
49th,Mark Thompson,1:45:47.04,M 55-59,2nd
50th,Kerry Coulton,1:46:35.46,M 60-64,2nd
51st,Richard Smith,1:46:37.42,M 35-39,12th
52nd,David Mellsop,1:46:48.71,M 19-34,16th
53rd,Fraser Hilton,1:46:54.11,M 35-39,13th
54th,Glen Jacobs,1:47:31.89,M 45-49,3rd
55th,Simon Dibben,1:47:50.62,M 35-39,14th
56th,Sophie Brokenshire,1:47:51.40,F 19-34,5th
57th,John Eley,1:48:01.25,M 40-44,7th
58th,Gordon Love,1:48:01.90,M 40-44,8th
59th,Simon Chamberlain,1:48:13.80,M 55-59,3rd
60th,Dan King,1:48:16.00,M 35-39,15th
61st,Vinay Raman,1:49:21.67,M 19-34,17th
62nd,Rhiannon Buckley,1:49:25.05,F 19-34,6th
63rd,Graeme Cox,1:49:28.85,M 55-59,4th
64th,Ellie Bowen,1:50:42.71,F 40-44,1st
65th,Bridget Francis,1:50:59.90,F 35-39,3rd
66th,Zac O'Brien,1:51:47.32,M 19-34,18th
67th,Kevin Fletcher,1:51:56.25,M 35-39,16th
68th,Phillippa Monk,1:52:10.70,F 35-39,4th
69th,Simon Cairncross,1:52:11.54,M 50-54,4th
70th,Connor Mill,1:53:51.38,M 19-34,19th
71st,Dylan Parrant,1:53:53.05,M 19-34,20th
72nd,Colleen Pavlovich,1:53:59.34,F 19-34,7th
73rd,Kristian Devitto,1:54:24.85,M 19-34,21st
74th,Isaac Hughes,1:54:47.54,M 19-34,22nd
75th,Josiah Whenuaroa,1:55:01.33,M 19-34,23rd
76th,Bevan Soothill,1:55:16.07,M 50-54,5th
77th,Danica MacDonald,1:55:17.82,F 19-34,8th
78th,Brendan Ng,1:55:43.84,M 19-34,24th
79th,Shane Ives,1:55:44.44,M 45-49,4th
80th,Ronan Spence,1:56:05.31,M 19-34,25th
81st,Ellie Smith,1:56:09.52,F 19-34,9th
