Position,Name,Bib,Time,Nationality,Category,Category Position,Gender,Gender Position,Run
1,ADRIAN MACDONALD,3,15:00:57,USA,35-39,1,Male,1,15:00:49
2,SAMUEL HARVEY,1213,15:29:53,NZL,20-34,1,Male,2,15:29:46
3,MIKE CARROLL,9,15:37:01,AUS,40-44,1,Male,3,15:36:52
4,GEORGE MURRAY,1293,17:06:10,NZL,20-34,2,Male,4,17:06:02
5,MATTHEW DUNN,23,17:16:35,AUS,35-39,2,Male,5,17:16:25
6,ROBERT ORMSBY,1309,17:56:22,AUS,40-44,2,Male,6,0:00:00
7,KONOKA AZUMI,36,18:24:53,JPN,35-39,1,Female,1,18:24:43
8,ANTHONY KERR-TAYLOR,1245,18:44:15,NZL,35-39,3,Male,7,18:44:05
9,AUSTIN CHIRICO,29,19:03:36,USA,35-39,4,Male,8,19:03:19
10,AARON DOWER,1440,19:06:37,NZL,45-49,1,Male,9,19:06:26
11,ROBBIE MITCHELL,1285,19:44:59,NZL,35-39,5,Male,10,19:44:44
12,MICHAEL HOOKER,1478,19:47:29,AUS,40-44,3,Male,11,19:47:21
13,LUCA AHUMADA-PERCOCO,1487,19:52:38,ARG,20-34,3,Male,12,19:52:21
14,JEFF VANDERSANDELACOSTE,1397,19:52:38,NZL,35-39,6,Male,13,19:52:30
15,CHANTELLE SMITH,45,19:55:41,AUS,35-39,2,Female,2,19:55:20
16,TOM SABEY,1341,20:11:30,GBR,20-34,4,Male,14,20:11:15
17,PETER KNIGHT,1491,20:11:31,GGY,35-39,7,Male,15,20:11:13
18,GERALD MACPHERSON,28,20:21:12,AUS,20-34,5,Male,16,20:21:02
19,ANDY TAYLOR,1064,20:53:12,NZL,50-54,1,Male,17,20:52:57
20,DAVID VROOM,1495,21:09:35,AUS,45-49,2,Male,18,21:09:10
21,CHRISSI FABER,1175,21:15:17,DEU,20-34,1,Female,3,21:14:57
22,MATHEW BAKER,1090,21:22:03,NZL,50-54,2,Male,19,21:21:46
