Position,Name,Time,Category,Category Position
1st,Saeki Makino,2:21:58,M 15-34,1st
2nd,Chris Sanson,2:27:11,M 15-34,2nd
3rd,Jonathan Jackson,2:32:44,M 15-34,3rd
4th,Matt Parsonage,2:40:12,M 35-39,1st
5th,Ben Wreford,2:43:47,M 15-34,4th
6th,Kunaal Rajpal,2:44:03,M 15-34,5th
7th,Sam Corbett,2:44:22,M 40-44,1st
8th,Adrian Lysaght,2:45:04,M 40-44,2nd
9th,Doug Moore,2:46:36,M 15-34,6th
10th,Lance Brew,2:48:53,M 35-39,2nd
11th,Andy Thornton,2:50:31,M 40-44,3rd
12th,Bevan Williams,2:51:16,M 35-39,3rd
13th,Fred Housham,2:51:43,M 35-39,4th
14th,Brendon Keenan,2:51:57,M 40-44,4th
15th,Jason Cameron,2:53:10,M 45-49,1st
16th,Yuki Ogawa,2:54:14,F 15-34,1st
17th,Dean Chiplin,2:54:41,M 45-49,2nd
18th,Johanna Ottosson,2:55:57,F 40-44,1st
19th,Jon-Paul Heather,2:57:48,M 15-34,7th
20th,Paul Bowman,2:58:30,M 40-44,5th
21st,Robert Tang,2:58:35,M 15-34,8th
22nd,Chris Smith,2:59:25,M 50-54,1st
23rd,Tony Broadhead,2:59:38,M 45-49,3rd
24th,Gene Rand,2:59:43,M 40-44,6th
25th,Matt Bailey,3:00:37,M 40-44,7th
26th,Matt Varley,3:01:25,M 40-44,8th
27th,Matt Henderson,3:01:36,M 45-49,4th
28th,Nico De Jong,3:01:55,M 15-34,9th
29th,Alan Kirkpatrick,3:02:11,M 40-44,9th
30th,Katie Wyrill,3:02:21,F 15-34,2nd
31st,Greg Morris,3:02:31,M 45-49,5th
32nd,Matapuku Robati,3:03:15,M 35-39,5th
33rd,Simon Neate,3:03:47,M 35-39,6th
34th,Gaine Petterson,3:04:20,M 40-44,10th
35th,Stephen Peck,3:05:03,M 15-34,10th
36th,Simon Wright,3:05:46,M 50-54,2nd
37th,Bruce Edwards,3:06:12,M 55-59,1st
38th,Tony Warren,3:06:19,M 55-59,2nd
39th,Barry Harrison,3:06:25,M 40-44,11th
40th,Kevin Knowles,3:06:54,M 55-59,3rd
41st,Adam Gallagher,3:07:11,M 15-34,11th
42nd,Rohan MacMahon,3:07:29,M 45-49,6th
43rd,Justin Cameron,3:08:37,M 15-34,12th
44th,Brent Nijssen,3:08:50,M 35-39,7th
45th,Kovo MacDonald,3:09:00,F 15-34,3rd
46th,Piers Kay,3:09:47,M 15-34,13th
47th,Stephen Bjarnesen,3:09:55,M 15-34,14th
48th,Alex Nicholson,3:09:56,M 15-34,15th
49th,Kieran Rhynd,3:11:06,M 15-34,16th
50th,Patrick Bain,3:11:08,M 15-34,17th
51st,Nathan Barthow,3:11:19,M 15-34,18th
52nd,Kevin Willers,3:11:19,M 40-44,12th
53rd,Stephen Mitchell,3:12:16,M 50-54,3rd
54th,Jason Hindrup,3:12:46,M 40-44,13th
55th,Phil Knutson,3:14:18,M 40-44,14th
56th,Denis Owen,3:14:19,M 15-34,19th
57th,David Lear,3:14:20,M 55-59,4th
58th,Carl Gamble,3:14:20,M 45-49,7th
59th,Letha Whitham,3:15:00,F 15-34,4th
60th,Sam Le Heron,3:15:09,M 15-34,20th
61st,Scott Hotham,3:15:19,M 40-44,15th
62nd,Thomas Francis,3:16:01,M 15-34,21st
63rd,Dirk Peters,3:16:51,M 15-34,22nd
64th,Cath Cheatley,3:16:57,F 15-34,5th
65th,Marion Millward,3:18:27,F 55-59,1st
66th,Dion Blundell,3:18:34,M 40-44,16th
67th,Tony Jansen,3:19:07,M 55-59,5th
68th,Mark Hassall,3:19:09,M 45-49,8th
69th,Andrew Cave,3:20:26,M 35-39,8th
70th,Michael Browne,3:21:25,M 35-39,9th
71st,Jacek Pakulski,3:21:50,M 35-39,10th
72nd,Raihi Hunia,3:22:22,M 15-34,23rd
73rd,Andrew Twiddy,3:22:49,M 35-39,11th
74th,Aaron Carter,3:22:55,M 40-44,17th
75th,Nyla Carroll,3:23:35,F 50-54,1st
76th,Lesley Turner Hall,3:23:44,F 45-49,1st
77th,Jeremy Moody,3:24:04,M 40-44,18th
78th,Finian Scott,3:24:23,M 15-34,24th
79th,David Foley,3:24:29,M 50-54,4th
80th,Matyas James,3:24:32,M 40-44,19th
81st,John Hartevelt,3:24:41,M 15-34,25th
82nd,Phillip Curtis,3:25:10,M 60-64,1st
83rd,Amy Howse,3:25:25,F 15-34,6th
84th,Corina Fellmann,3:25:25,F 45-49,2nd
85th,David Clark,3:25:38,M 35-39,12th
