Position,Name,Bib,Time,Nationality,Category,Category Position,Gender,Gender Position
128,LILLA CSORGO,330,13:49:35,NZL,40-49,8,Female,23
129,NICK GOLLEDGE,133,13:49:36,NZL,40-49,36,Male,106
130,NIKKI MACKINTOSH,76,13:50:10,AUS,30-39,9,Female,24
131,JACOB FLEMING,389,13:50:19,NZL,20-29,20,Male,107
132,RICHARD LEARY,263,13:53:17,NZL,30-39,42,Male,108
133,GRANT HARVISON,333,13:54:17,SUI,50-59,8,Male,109
134,YVES DOUSSAL,546,13:55:38,FRA,30-39,43,Male,110
135,JAMES ( AKA JACK) DARLINGTON,446,13:56:22,NZL,20-29,21,Male,111
136,SCOTT HILLMAN,422,13:56:40,NZL,40-49,37,Male,112
137,PAUL DALLEY,173,13:57:48,NZL,40-49,38,Male,113
138,DARREN COTTERILL,16,13:57:50,AUS,40-49,39,Male,114
139,GRAEME LEAR,338,14:02:00,NZL,60-69,4,Male,115
140,KEVIN BIGGAR,605,14:03:06,NZL,40-49,40,Male,116
141,KIRSTY HAMLIN,290,14:03:21,NZL,40-49,9,Female,25
142,HEATHER ANDERSON,609,14:03:23,,30-39,10,Female,26
143,MAIA  DETMER,568,14:03:42,,30-39,11,Female,27
144,MATTHEW  MADAY,518,14:07:49,,40-49,41,Male,117
145,KATE TUCKEY,102,14:08:09,AUS,40-49,10,Female,28
146,MATT  FORD,236,14:12:37,NZL,40-49,42,Male,118
147,KRIS MCLEISH,588,14:14:05,NZL,30-39,44,Male,119
148,MARIELLE CARMAGNOLLE,495,14:18:14,FRP,50-59,3,Female,29
149,KIERON BATT,524,14:18:55,NZL,40-49,43,Male,120
150,MATTHEW NYE-HINGSTON,69,14:19:21,NZL,40-49,44,Male,121
151,KIRSTEN RODEKA,343,14:19:29,NZL,40-49,11,Female,30
152,JONATHAN MOULDS,859,14:19:31,NZL,30-39,45,Male,122
153,PITINON POONSAENGSATHIT,549,14:21:34,THI,40-49,45,Male,123
154,MARY FLINDERS,334,14:22:50,,30-39,12,Female,31
155,KATHRYN AUSTIN,95,14:22:54,AUS,40-49,12,Female,32
156,JIMMY LEYDEN,405,14:23:21,AUS,30-39,46,Male,124
157,NICOLAS  BERNARD,611,14:23:22,FRA,20-29,22,Male,125
158,GLEN BAVEYSTOCK,1139,14:29:00,NZL,40-49,46,Male,126
159,ALEXIS OOSTERHOFF,145,14:31:06,AUS,40-49,47,Male,127
160,RAE PETERS,67,14:31:33,NZL,40-49,13,Female,33
161,SIMONE HAYES,138,14:32:21,AUS,40-49,14,Female,34
162,MARTINS KRUMINS,210,14:38:09,LAT,20-29,23,Male,128
163,KEITH GILCHRIST,177,14:38:25,NZL,40-49,48,Male,129
164,LEONIE SMITH,402,14:40:16,NZL,40-49,15,Female,35
165,NICHOLAS  DODDS,74,14:40:46,AUS,40-49,49,Male,130
166,CATHY KIRKPATRICK,183,14:41:11,NZL,30-39,13,Female,36
167,HOA BANH,71,14:41:26,AUS,40-49,16,Female,37
168,NICK HOUGHTON,344,14:41:35,NZL,20-29,24,Male,131
169,LEE WENZLICK,187,14:42:22,NZL,40-49,50,Male,132
170,OLGA ALICIA  BOLAN,150,14:43:55,,30-39,14,Female,38
171,TABATHA COLLINS,228,14:43:55,JPN,40-49,17,Female,39
172,JOHN BENSON,335,14:45:25,NZL,40-49,51,Male,133
173,BRENT KELLY,297,14:49:30,NZL,30-39,47,Male,134
174,CAMERON BLACKLOCK,348,14:50:03,NZL,30-39,48,Male,135
175,GEOFF HIGGINS,113,14:51:12,NZL,40-49,52,Male,136
176,SIVA GOVENDER,201,14:51:55,NZL,50-59,9,Male,137
177,RADLEIGH CAIRNS,29,14:52:13,NZL,40-49,53,Male,138
178,BRENT MCKAY,1097,14:52:13,NZL,40-49,54,Male,139
179,SHELLEY MCKAY,154,14:52:53,NZL,40-49,18,Female,40
180,MARK GREIG,395,14:52:58,NZL,40-49,55,Male,140
181,MURDOCH GROVES,359,14:53:41,AUS,30-39,49,Male,141
182,JODI KEARNEY,317,14:55:19,NZL,30-39,15,Female,41
183,EDDIE MEIJER,169,14:57:19,NZL,50-59,10,Male,142
184,FIONA PALMER,213,14:57:31,NZL,50-59,4,Female,42
185,BRETT INFANTI,384,15:00:21,AUS,40-49,56,Male,143
186,MARK BEATTIE,26,15:04:02,NZL,30-39,50,Male,144
187,RICHARD  LEE,476,15:06:25,NZL,40-49,57,Male,145
188,ADRIAN FOSTER,35,15:07:54,AUS,40-49,58,Male,146
189,ALIDA CROSS,77,15:10:35,AUS,50-59,5,Female,43
190,NIGEL BLAKEBOROUGH,27,15:10:41,NZL,40-49,59,Male,147
191,ANDREA HARRIS,284,15:10:56,AUS,30-39,16,Female,44
192,BLAIR TUPP,105,15:12:21,NZL,30-39,51,Male,148
193,VINCENT ELLIOTT,583,15:12:40,NZL,20-29,25,Male,149
194,ANDREA LAWRENCE,158,15:12:44,NZL,40-49,19,Female,45
195,JEROME LOURME,234,15:12:44,,50-59,11,Male,150
196,JAMES  BLANTON,197,15:15:01,AUS,30-39,52,Male,151
197,SALLY  LAW,47,15:15:35,NZL,50-59,6,Female,46
198,DANIEL JACQUES,411,15:15:50,NZL,30-39,53,Male,152
199,ELIZABETH PALMER,137,15:18:08,NZL,40-49,20,Female,47
200,TEAM TARAWERA TRAILS TEAM TWO,4044,15:18:44,,4 person,1,"Mixed 
																					(1)",
201,PAULA GIBSON-MARSHMENT,393,15:22:17,NZL,40-49,21,Female,48
202,CHRIS IVORY,394,15:22:18,NZL,50-59,12,Male,153
203,JOHN MILES IVORY,512,15:22:18,NZL,40-49,60,Male,154
204,MICHAEL SCOGINGS,87,15:24:01,PRU,50-59,13,Male,155
205,TIM TRACY,62,15:24:15,AUS,20-29,26,Male,156
206,ANDREW STANLEY,53,15:26:18,NZL,50-59,14,Male,157
207,BRYON MOSEN,303,15:26:30,NZL,50-59,15,Male,158
208,NEIL HOPKINS,254,15:26:36,AUS,40-49,61,Male,159
209,UWE SEIL,325,15:27:15,AUS,40-49,62,Male,160
210,CHRISTIAN VICERA,285,15:28:12,,30-39,54,Male,161
211,MARK CAMPBELL,536,15:28:26,NZL,50-59,16,Male,162
212,JAMES PINNER,110,15:28:28,NZL,30-39,55,Male,163
213,PAUL GRIFFITHS,267,15:29:02,AUS,40-49,63,Male,164
214,PHILIP HORNE,202,15:29:14,NZL,40-49,64,Male,165
215,FRANCK GARANGER,535,15:30:54,ESP,40-49,65,Male,166
216,DAVID LYNN,170,15:33:07,,30-39,56,Male,167
