Position,Name,Bib,Time,Gender,Gender Position,Age Group,Age Group Position
1,Sasha Daniels,245,1:17:17,M,1,40-49,1
2,Alexi Petrie,1320,1:17:41,M,2,20-29,1
3,Lachlan Haitana,954,1:19:41,M,3,16-19,1
4,Ollie Walton,1345,1:20:08,M,4,20-29,2
5,Richard Campbell,812,1:20:11,M,5,30-39,1
6,Brad Dixon,800,1:20:18,M,6,40-49,2
7,Martin Ferry,217,1:20:27,M,7,30-39,2
8,Doug Moore,1344,1:20:47,M,8,20-29,3
9,Tony Edmonds,407,1:21:23,M,9,30-39,3
10,Nathan Wilkins,1072,1:21:34,M,10,30-39,4
11,Brad Barron,1152,1:21:57,M,11,30-39,5
12,Margie Atthow,811,1:21:59,F,1,30-39,1
13,Luke Williams,1311,1:22:44,M,12,50-59,1
14,Michael Robinson,1332,1:23:43,M,13,20-29,4
15,Todd Rowan,398,1:24:15,M,14,30-39,6
16,Garrett Ianacone,247,1:24:28,M,15,40-49,3
17,Jeff Goodhue,1258,1:24:29,M,16,30-39,7
18,Andrew Stanley,1247,1:25:34,M,17,50-59,2
19,Richard McLellan,1153,1:25:56,M,18,20-29,5
20,Daryl Harding,1074,1:27:42,M,19,30-39,8
21,Fiona Love,999,1:27:48,F,2,30-39,2
22,Luke Godsall,969,1:28:18,M,20,20-29,6
23,Pip Meo,1076,1:29:04,F,3,30-39,3
24,Stephen MacKisack,232,1:29:43,M,21,50-59,3
25,Craig Barrett,216,1:30:30,M,22,40-49,4
26,David Metcalfe,1334,1:30:45,M,23,40-49,5
27,Martin Cleary,1116,1:30:55,M,24,20-29,7
28,Hannah Tomlinson,1149,1:31:00,F,4,20-29,1
29,Adam Hazlett,1099,1:31:13,M,25,40-49,6
30,Peter Boyd,257,1:31:29,M,26,40-49,7
31,Ben Lythe,1270,1:31:49,M,27,40-49,8
32,Hamish Gordon,1341,1:32:25,M,28,30-39,9
33,Richard Clifton,1018,1:32:32,M,29,50-59,4
34,Katrina Madill,955,1:32:39,F,5,20-29,2
35,Tim Doyle,962,1:32:46,M,30,20-29,8
36,Cam Wasley,752,1:32:55,M,31,30-39,10
37,Ger Collins,1296,1:33:03,M,32,40-49,9
38,Charles Johnson,1288,1:33:21,M,33,16-19,2
39,Luke Watson,1001,1:33:28,M,34,40-49,10
40,Chris Howard,636,1:33:32,M,35,40-49,11
41,Emma Bassett,618,1:34:00,F,6,30-39,4
42,Catherine Delaporte,16,1:34:17,F,7,40-49,1
43,Carl Theobald,925,1:34:20,M,36,20-29,9
44,Richard Wisnewski,253,1:34:32,M,37,20-29,10
45,Geoffrey Emslie,611,1:34:34,M,38,30-39,11
46,Brent De Jongh,1221,1:34:43,M,39,40-49,12
47,James Harper,1262,1:34:58,M,40,30-39,12
48,Riley Smith,529,1:35:21,F,8,20-29,3
49,David McCauley,1339,1:35:22,M,41,30-39,13
50,Tony More,458,1:35:28,M,42,30-39,14
51,Lance Ng,1223,1:35:32,M,43,20-29,11
52,Sean Grace,825,1:35:37,M,44,30-39,15
53,Grant Helleur,647,1:35:42,M,45,40-49,13
54,Dale Berrill,705,1:35:52,F,9,30-39,5
55,Joe Morton,1131,1:36:01,M,46,30-39,16
56,Jamie Bell,1343,1:36:07,M,47,20-29,12
57,Stefan Milosevic,916,1:36:16,M,48,20-29,13
58,William Harrs,1126,1:36:23,M,49,20-29,14
59,Martin Edwards,519,1:36:25,M,50,40-49,14
60,Kevin Walsh,668,1:36:35,M,51,50-59,5
61,Rebecca Clarke,1260,1:36:40,F,10,20-29,4
62,Matt McKerrow,920,1:36:45,M,52,30-39,17
63,Felipe Vidal,662,1:36:53,M,53,30-39,18
64,Pete Watson,1323,1:37:03,M,54,50-59,6
65,Ethan Morrow,1319,1:37:04,M,55,16-19,3
66,Millie Rowan,823,1:37:12,F,11,20-29,5
