Position,Name,Bib,Time,Category,Category Position,Gender,Gender Position
1,TEAM ORIENTEERING BAY OF PLENTY,8027,7:41:57,87km 4 person relay,1,"Mixed 
																					(1)",
2,TEAM ARE WE THERE YET?,8021,7:56:25,87km 4 person relay,2,"Mixed 
																					(2)",
3,JORIS KIREDJIAN,812,8:25:11,30-39,1,Male,1
4,RICHARD COGHLAN,850,8:27:29,40-49,1,Male,2
5,TEAM MEC #1 SQUAD,8049,8:32:10,87km 2 person relay,1,"Mixed 
																					(3)",
6,TEAM MEC - THINKERS,8044,8:44:00,87km 2 person relay,2,"Mixed 
																					(4)",
7,STEWART MILNE,843,9:19:37,40-49,2,Male,3
8,JEREMY RAIKES,870,9:32:52,30-39,2,Male,4
9,TEAM LET'S BONK YET AGAIN!,8005,9:54:01,87km 4 person relay,3,"Mixed 
																					(5)",
10,TEAM THE MCLACHLANS,8011,9:54:48,87km 4 person relay,4,"Mixed 
																					(6)",
11,TEAM BROTHERS IN ARMS,8025,10:16:00,87km 4 person relay,5,"Mixed 
																					(7)",
12,TEAM GREGNRUSS,8040,10:17:07,87km 2 person relay,3,"Mixed 
																					(8)",
13,TEAM BACKWARDS HAT RUNNING CREW,8045,10:26:39,87km 2 person relay,4,"Mixed 
																					(9)",
14,TEAM WARRATERRAS,8008,10:28:25,87km 4 person relay,6,"Mixed 
																					(10)",
15,TEAM THE PJCK OF THE BUNCH MKII,8012,10:28:27,87km 4 person relay,7,"Mixed 
																					(11)",
16,TEAM SPEEDY SNAILS,8036,10:33:08,87km 2 person relay,5,"Mixed 
																					(12)",
17,TEAM CRC,8046,10:43:03,87km 4 person relay,8,"Mixed 
																					(13)",
18,KRISTEN BRACE,877,10:43:24,40-49,1,Female,1
19,TEAM HOME SHOW,8047,10:56:26,87km 4 person relay,9,"Mixed 
																					(14)",
20,TEAM MUMS ON THE RUN,8010,10:59:12,87km 4 person relay,10,"Mixed 
																					(15)",
21,TEAM THE STITCH N BITCHERS,8019,11:29:42,87km 4 person relay,11,"Mixed 
																					(16)",
22,TOM LASINA,860,11:30:40,20-29,1,Male,5
23,TEAM LEGS MISERABLES,8033,11:34:11,87km 4 person relay,12,"Mixed 
																					(17)",
24,TEAM ULTRA VIRES,8022,11:39:52,87km 4 person relay,13,"Mixed 
																					(18)",
25,SHAYNE HOSSACK,867,11:41:11,30-39,3,Male,6
26,TEAM JAMES KUEGLER COACHING,8023,11:41:23,87km 4 person relay,14,"Mixed 
																					(19)",
27,TEAM KBC TRAIL RUNNERS,8007,11:43:07,87km 4 person relay,15,"Mixed 
																					(20)",
28,TEAM SCRAMBLED LEGS,8013,11:52:35,87km 4 person relay,16,"Mixed 
																					(21)",
29,TEAM STICKY VICKI AND THE RUNNETTES,8030,11:53:45,87km 4 person relay,17,"Mixed 
																					(22)",
30,ROBERT BROOMFIELD,873,11:59:41,40-49,3,Male,7
31,ALAN POTTER,824,12:02:44,40-49,4,Male,8
32,TEAM GEOLOGICAL GEMS,8039,12:03:19,87km 2 person relay,6,"Mixed 
																					(23)",
33,TEAM THE NEGATIVE SPLIT!,8035,12:05:08,87km 2 person relay,7,"Mixed 
																					(24)",
34,TEAM BUZZY BEES,8038,12:07:39,87km 2 person relay,8,"Mixed 
																					(25)",
35,TEAM FAST FOXES,8037,12:07:40,87km 2 person relay,9,"Mixed 
																					(26)",
36,ELIZABETH PALMER,814,12:11:43,40-49,2,Female,2
37,TEAM OLYMPIC GOING FORWARD,8014,12:17:24,87km 4 person relay,18,"Mixed 
																					(27)",
38,TEAM VOLUNTOLDS,8029,12:29:29,87km 4 person relay,19,"Mixed 
																					(28)",
39,LISA HISCOCK,840,12:30:37,20-29,1,Female,3
40,TEAM ROCKY MOUNTAIN HIGH,8043,12:36:09,87km 2 person relay,10,"Mixed 
																					(29)",
41,TEAM MT EDEN RUNAWAYS,8001,12:40:20,87km 4 person relay,20,"Mixed 
																					(30)",
42,JAMES GOODWILL,801,12:57:13,30-39,4,Male,9
43,PHIL CALDER,865,13:00:34,40-49,5,Male,10
44,TEAM EARLY BIRD RUNNERS,8020,13:00:54,87km 4 person relay,21,"Mixed 
																					(31)",
45,MICHEL LASINA,859,13:01:30,50-59,1,Male,11
46,TEAM TIMBERCHICKS,8026,13:04:32,87km 4 person relay,22,"Mixed 
																					(32)",
47,TEAM MATARIKI GIRLS,8018,13:07:36,87km 4 person relay,23,"Mixed 
																					(33)",
48,TEAM WE SHALL BE ONE RUN STRONGER,8015,13:14:52,87km 4 person relay,24,"Mixed 
																					(34)",
49,TEAM THE HILLBILLIES,8024,13:15:25,87km 4 person relay,25,"Mixed 
																					(35)",
50,LASZLO BOKANY,810,13:24:16,50-59,2,Male,12
51,MIKE LEOPARD,815,13:27:23,30-39,5,Male,13
52,STEVE AYERS,874,13:29:00,30-39,6,Male,14
53,TEAM SUPER AWESOME AT JOGGING,8031,13:37:39,87km 4 person relay,26,"Mixed 
																					(36)",
54,HEIDI CUTLER,805,13:42:45,40-49,3,Female,4
55,TEAM CHAFING THE DREAM,8051,13:45:14,87km 2 person relay,11,"Mixed 
																					(37)",
56,TEAM WHAT THE HILL,8042,13:56:45,87km 2 person relay,12,"Mixed 
																					(38)",
57,ALLISTER KILPATRICK,803,14:02:20,30-39,7,Male,15
58,ROBERT RICKERBY,854,14:04:00,40-49,6,Male,16
59,TEAM MOOSE KNUCKLES,8028,14:11:30,87km 4 person relay,27,"Mixed 
																					(39)",
60,KAREN JACOBS-COOKE,809,14:11:47,40-49,4,Female,5
61,TEAM UNFATHOMABLE STUPIDITY,8004,14:16:41,87km 4 person relay,28,"Mixed 
																					(40)",
62,CARLA MORIARTY,871,14:23:29,40-49,5,Female,6
63,MAUDE RUEST,879,14:29:49,30-39,1,Female,7
64,TEAM THE LEFT SOCKS,8009,14:33:24,87km 4 person relay,29,"Mixed 
																					(41)",
65,TEAM CHUGGANAUTS,8000,14:36:20,87km 4 person relay,30,"Mixed 
																					(42)",
66,TEAM WILDEPEOPLE,8032,14:55:47,87km 4 person relay,31,"Mixed 
																					(43)",
67,DAVID TINLINE,830,15:01:08,30-39,8,Male,17
68,CRAIG BIBBY,855,15:06:57,40-49,7,Male,18
69,STEFANIE AWISZUS,868,15:33:02,30-39,2,Female,8
70,CHRISTINE KING,835,15:33:29,40-49,6,Female,9
71,TEAM ROARING FORTIES,8016,15:55:24,87km 4 person relay,32,"Mixed 
																					(44)",
72,GRISELDA BAARD,880,16:00:52,40-49,7,Female,10
73,DENNIS IRVING,817,16:04:31,40-49,8,Male,19
74,GRAEME WOOD,825,16:09:56,50-59,3,Male,20
75,PETER TAYLOR,813,16:10:33,30-39,9,Male,21
76,LAURENT MAILLOT,844,16:14:41,40-49,9,Male,22
77,MICHELLE PARKER,806,16:16:30,40-49,8,Female,11
78,TEAM WUNTZ WER SAYN,8002,16:29:56,87km 4 person relay,33,"Mixed 
																					(45)",
79,CATHERINE BENNETT,846,16:31:12,40-49,9,Female,12
80,TE MAURI APIATA,875,16:38:59,40-49,10,Male,23
81,WILLIAM GRAF,845,16:51:58,50-59,4,Male,24
82,RUSSELL GEAR,832,16:59:45,30-39,10,Male,25
