Position,Name,Bib,Time,Category,Category Position,Gender,Gender Position
1,RUSSELL LAKE,318,08:57:48,Solo,1,Male,1
2,CAMERON MUMBY,206,09:19:38,Solo,2,Male,2
3,SHONA STEPHENSON,134,09:31:52,Solo,1,Female,1
4,SIMON YOCK,333,09:43:21,Solo,3,Male,3
5,QUINTEN KING,58,10:11:09,Solo,4,Male,4
6,PAUL STABLES,40,10:24:59,Solo,5,Male,5
7,CANDICE BURT,194,10:37:47,Solo,2,Female,2
8,ED WHITING,121,10:48:20,Solo,6,Male,6
9,JOSHUA PHILLIPS,79,11:01:53,Solo,7,Male,7
10,REAGAN PATTISON,153,11:04:15,Solo,8,Male,8
11,GRAEME HARRE,217,11:04:16,Solo,9,Male,9
12,JENNI HOOGEVEEN,311,11:04:54,Solo,3,Female,3
13,DAVID ARMSTRONG,148,11:07:20,Solo,10,Male,10
14,PAUL BILLINGHURST,8,11:09:24,Solo,11,Male,11
15,THERESA BIDWELL,207,11:14:38,Solo,4,Female,4
16,SCOTT MCINTYRE,12,11:17:33,Solo,12,Male,12
17,MARTIN HUNT,342,11:23:36,Solo,13,Male,13
18,TIM DAY,3,11:24:59,Solo,14,Male,14
19,DENISE MAYLIN,324,11:35:42,Solo,5,Female,5
20,RICHARD LEE,28,11:47:28,Solo,15,Male,15
21,GERRY MEKKELHOLT,341,12:06:11,Solo,16,Male,16
22,KEN MAPLESDEN,343,12:06:14,Solo,17,Male,17
23,STEWART MATHIESEN,196,12:12:46,Solo,18,Male,18
24,CHRIS NOBLE,29,12:14:05,Solo,19,Male,19
25,ANNA BARRETT,495,12:15:58,Solo,6,Female,6
26,ANGUS BROWN,328,12:19:25,Solo,20,Male,20
27,CALLUM HARRIS,350,12:24:32,Solo,21,Male,21
28,SCOTT WRENN,326,12:30:12,Solo,22,Male,22
29,CASEY MARSHMENT,323,12:33:27,Solo,23,Male,23
30,MATHEW RAFFILLS,340,12:37:36,Solo,24,Male,24
31,SACHA COWLRICK,491,12:41:52,Solo,7,Female,7
32,CARLA DUFFIELD,317,12:41:53,Solo,8,Female,8
33,JON COX,104,12:43:42,Solo,25,Male,25
34,MARK EMR,4,12:47:14,Solo,26,Male,26
35,STEVE TAFT,319,12:52:00,Solo,27,Male,27
36,ALISON FLEMING,70,13:05:14,Solo,9,Female,9
37,BRIGID BORLASE,304,13:14:32,Solo,10,Female,10
38,ALLEN MILLS,301,13:15:22,Solo,28,Male,28
39,MEAD NORTON,214,13:15:24,Solo,29,Male,29
40,GREGOR HARTNELL,223,13:20:30,Solo,30,Male,30
