Position,Name,Bib,Time,Category,Category Position,Gender,Gender Position,Run
1,MICHAEL VOSS,1264,02:23:48,18-34,1,Male,1,02:23:48
2,CULLERN THORBY,892,02:23:52,18-34,2,Male,2,02:23:52
3,BEN PARKER,855,02:36:34,18-34,3,Male,3,02:36:34
4,KYLE BRIDGEMAN,1370,02:39:01,40-44,1,Male,4,02:39:01
5,BRENT GODFREY,1387,02:39:14,40-44,2,Male,5,02:39:14
6,JAMIE COULTER-SMYTH,214,02:39:22,18-34,4,Male,6,02:39:22
7,TROY HAROLD,957,02:39:25,50-54,1,Male,7,02:39:25
8,SHANON STALLARD,623,02:39:53,40-44,3,Male,8,02:39:53
9,NATHAN COOMBES,1330,02:41:51,18-34,5,Male,9,02:41:51
10,NATSUO NEMOTO,431,02:42:08,18-34,6,Male,10,02:42:08
11,DENIS FINN,1399,02:45:42,18-34,7,Male,11,02:45:42
12,MATTHEW HALLAM,218,02:45:57,35-39,1,Male,12,02:45:57
13,DEBBIE DONALD,1269,02:46:30,35-39,1,Female,1,02:46:30
14,JON-PAUL HEATHER,1393,02:47:05,40-44,4,Male,13,02:47:05
15,WILL O'CONNOR,1338,02:47:22,35-39,2,Male,14,02:47:22
16,JAKE WILKINSON,659,02:47:42,18-34,8,Male,15,02:47:42
17,JASON CRESWELL,381,02:48:08,40-44,5,Male,16,02:48:08
18,OLIVER HEAL,520,02:50:01,18-34,9,Male,17,02:50:01
19,ADAM GALLAGHER,1162,02:50:34,40-44,6,Male,18,02:50:34
20,MARK ROBINSON,1127,02:52:39,18-34,10,Male,19,02:52:40
21,MATT SMITH,715,02:54:02,40-44,7,Male,20,02:54:03
22,FERGUS HODGSON,476,02:54:32,40-44,8,Male,21,02:54:32
23,JOSEPH CANTWELL,875,02:55:17,18-34,11,Male,22,02:55:17
24,DANIEL MAGILL,891,02:55:33,50-54,2,Male,23,02:55:33
25,LYDIA ODONNELL,1211,02:56:39,18-34,1,Female,2,02:56:39
26,JULIAN GRAY,1385,02:56:44,45-49,1,Male,24,02:56:44
27,DAVID WILKINSON,245,02:56:44,40-44,9,Male,25,02:56:47
28,PHILL SANDS,836,02:56:59,40-44,10,Male,26,02:57:09
29,BRENDON HOGAN,303,02:57:16,40-44,11,Male,27,02:57:16
30,BEN WILKINSON,289,02:57:18,18-34,12,Male,28,02:57:18
31,LEVI THOMAS,593,02:57:27,18-34,13,Male,29,02:57:27
32,JAMES SAI LOUIE,1320,02:57:49,35-39,3,Male,30,02:57:49
33,HUY TRAN,887,02:57:57,18-34,14,Male,31,02:57:58
34,DAVID LOVELOCK,1064,02:58:52,35-39,4,Male,32,02:58:52
35,JUSTIN HURT,762,02:59:29,45-49,2,Male,33,02:59:32
36,TROY FLORENCE,1251,02:59:32,45-49,3,Male,34,02:59:35
37,GENE RAND,984,02:59:39,50-54,3,Male,35,02:59:39
38,TIM ASHBY-PECKHAM,700,03:00:02,18-34,15,Male,36,03:00:04
39,BLAKE SCHIMANSKI,1281,03:00:02,18-34,16,Male,37,03:00:24
40,SEAN KELLY,529,03:00:56,50-54,4,Male,38,03:00:58
41,JULIAN HART,1239,03:02:47,40-44,12,Male,39,03:02:49
42,HAOTING MA,1391,03:02:57,18-34,17,Male,40,03:02:58
43,ALAN KIRKPATRICK,1178,03:03:51,45-49,4,Male,41,03:03:53
44,SEAN FALCONER,1160,03:04:13,40-44,13,Male,42,03:04:14
45,MARK RUSSELL,1151,03:04:40,18-34,18,Male,43,03:04:43
46,TOM BARKER,538,03:05:02,45-49,5,Male,44,03:05:03
47,KATE MACDONALD,380,03:05:13,40-44,1,Female,3,03:05:15
48,BRENDON KEENAN,1185,03:05:54,45-49,6,Male,45,03:05:55
