Position,Name,Time,Category,Category Position
118th,Troy Davies,1:50:46,M 11-34,44th
119th,Jason Wright,1:50:53,M 11-34,45th
120th,Daniel Mataroa,1:51:06,M 35-39,15th
121st,Steve Aitken,1:51:14,M 55-59,8th
122nd,Franken Beans,1:51:18,M 40-44,11th
123rd,David Pretorius,1:51:29,M 40-44,12th
124th,Sarah Bauer,1:51:29,F 11-34,10th
125th,Nik Andre,1:51:31,M 50-54,7th
126th,Bruce Easton,1:51:31,M 65-69,1st
127th,Nick Johnson,1:51:37,M 50-54,8th
128th,Richard Todd,1:51:44,M 11-34,46th
129th,Hugo Geddes,1:51:54,M 35-39,16th
130th,Mathew Harty,1:51:54,M 11-34,47th
131st,Amanda Wolak,1:51:57,F 11-34,11th
132nd,Reece Pickering,1:52:00,M 50-54,9th
133rd,Carlos Garc?ìa,1:52:00,M 40-44,13th
134th,Isobella Henzell,1:52:15,F 11-34,12th
135th,Robert Harrison,1:52:16,M 35-39,17th
136th,Maddy Evans,1:52:21,F 11-34,13th
137th,David Foley,1:52:22,M 50-54,10th
138th,Andrew Evans,1:52:22,M 50-54,11th
139th,Vaughan Swale,1:52:29,M 60-64,2nd
140th,Andrew Firth,1:52:36,M 50-54,12th
141st,Catherine Cullen,1:52:41,F 45-49,4th
142nd,Phil Gulbransen,1:52:51,M 60-64,3rd
143rd,Mark Coffey,1:52:56,M 50-54,13th
144th,Michael Baughen,1:53:07,M 11-34,48th
145th,Leo Kelso,1:53:08,M 40-44,14th
146th,Krystal Bruce,1:54:06,F 11-34,14th
147th,Anna Whitmore,1:54:07,F 11-34,15th
148th,Boniface Kinnear,1:54:09,M 35-39,18th
149th,Rachel Smalley,1:54:12,F 45-49,5th
150th,Sean Abbott,1:54:14,M 45-49,9th
151st,Andrew Smith,1:54:22,M 50-54,14th
152nd,Mark Moores,1:54:30,M 60-64,4th
153rd,Joy Thomas,1:54:32,F 55-59,3rd
154th,Graham Stuart,1:54:33,M 60-64,5th
155th,Mark Armstrong,1:54:38,M 50-54,15th
