Position,Name,Time,Category,Category Position
1st,Nick Horspool,2:27:39,Male 15 to 34,1st
2nd,Chris Sanson,2:28:10,Male 15 to 34,2nd
3rd,Ciaran Faherty,2:28:22,Male 15 to 34,3rd
4th,Tony Payne,2:29:49,Male 15 to 34,4th
5th,David Lovelock,2:35:44,Male 15 to 34,5th
6th,Matthew Carroll,2:36:42,Male 15 to 34,6th
7th,Stephen Lett,2:37:41,Male 15 to 34,7th
8th,Nick Johnston,2:37:46,Male 15 to 34,8th
9th,Brad Luiten,2:40:00,Male 35 to 39,1st
10th,Paul Doran,2:40:31,Male 35 to 39,2nd
11th,David Fitch,2:41:53,Male 40 to 44,1st
12th,Gene Rand,2:43:36,Male 40 to 44,2nd
13th,Adrian Lysaght,2:43:55,Male 40 to 44,3rd
14th,Mark Boyce,2:44:10,Male 15 to 34,9th
15th,Daniel Donegan,2:49:42,Male 15 to 34,10th
16th,Brendon Keenan,2:53:00,Male 40 to 44,4th
17th,Tony Broadhead,2:53:49,Male 45 to 49,1st
18th,Jeremy Moody,2:55:05,Male 35 to 39,3rd
19th,Liza Hunter-Galvan,2:55:25,Female 45 to 49,1st
20th,Robbie Barnes,2:55:42,Male 50 to 54,1st
21st,Fred Housham,2:55:42,Male 35 to 39,4th
22nd,Katie Wyrill,2:57:26,Female 15 to 34,1st
23rd,Johanna Ottosson,2:57:52,Female 35 to 39,1st
24th,Dan Brown,2:58:15,Male 35 to 39,5th
25th,Alastair Prangnell,2:58:17,Male 55 to 59,1st
26th,Jeff Goodhue,2:58:47,Male 35 to 39,6th
27th,Mel Aitken,3:00:30,Female 35 to 39,2nd
28th,Klaartje Van Schie,3:00:56,Female 35 to 39,3rd
29th,Ian Bitcheno,3:01:36,Male 45 to 49,2nd
30th,Greg Morris,3:01:39,Male 45 to 49,3rd
31st,Chris Smith,3:02:00,Male 50 to 54,2nd
32nd,Nick Crocker,3:02:14,Male 15 to 34,11th
33rd,Brendon Thompson,3:02:32,Male 40 to 44,5th
34th,Mark Bright,3:03:02,Male 50 to 54,3rd
35th,Jo Gosse,3:03:27,Female 45 to 49,2nd
36th,Kerry Robinson,3:03:49,Male 45 to 49,4th
37th,Alan Kirkpatrick,3:05:10,Male 35 to 39,7th
38th,Nancy Jiang,3:05:12,Female 15 to 34,2nd
39th,Liam Woolford,3:05:44,Male 15 to 34,12th
40th,Tony Price,3:06:20,Male 60 to 64,1st
41st,Will Weavers,3:06:39,Male 15 to 34,13th
42nd,Simon Aspden,3:06:41,Male 45 to 49,5th
43rd,Gaine Petterson,3:06:41,Male 40 to 44,6th
44th,Mike Kowalewski,3:06:52,Male 35 to 39,8th
45th,David Lear,3:07:59,Male 55 to 59,2nd
46th,Kunaal Rajpal,3:08:13,Male 15 to 34,14th
47th,Jon-Paul Heather,3:08:28,Male 15 to 34,15th
48th,Nikki Edwards,3:08:44,Female 35 to 39,4th
49th,Matt Varley,3:09:25,Male 40 to 44,7th
50th,Rohan MacMahon,3:10:01,Male 45 to 49,6th
51st,Troy MacDonald,3:10:14,Male 15 to 34,16th
52nd,Doug Watson,3:10:44,Male 15 to 34,17th
53rd,Stephen Martin,3:11:05,Male 15 to 34,18th
54th,Matt Henderson,3:12:00,Male 40 to 44,8th
55th,Ian Fullwood,3:12:51,Male 35 to 39,9th
56th,Andrew Jamieson,3:12:52,Male 40 to 44,9th
57th,Campbell MacDonald,3:12:58,Male 15 to 34,19th
58th,Aaron Carter,3:13:15,Male 40 to 44,10th
59th,Hamish Martin,3:13:30,Male 35 to 39,10th
60th,Jamie Whyte,3:14:01,Male 35 to 39,11th
61st,Victoria Humphries,3:14:25,Female 50 to 54,1st
62nd,Hayden Corkin,3:14:35,Male 35 to 39,12th
63rd,Jeffrey Styles,3:14:39,Male 15 to 34,20th
64th,Mark Williams,3:14:52,Male 45 to 49,7th
65th,John Forrest,3:15:24,Male 40 to 44,11th
66th,Denis Owen,3:16:09,Male 15 to 34,21st
67th,Damon Dravitzki,3:16:44,Male 35 to 39,13th
68th,Cameron McKenzie,3:17:29,Male 35 to 39,14th
69th,Dion Blundell,3:18:07,Male 40 to 44,12th
70th,Austin Brooks,3:18:12,Male 15 to 34,22nd
71st,Phil Knutson,3:18:33,Male 35 to 39,15th
72nd,Ryan Wood,3:19:06,Male 15 to 34,23rd
73rd,Juanita Paterson,3:19:13,Female 40 to 44,1st
74th,Tim Anderson,3:19:19,Male 35 to 39,16th
75th,Cath Cheatley,3:19:42,Female 15 to 34,3rd
76th,Dion Peters,3:19:42,Male 35 to 39,17th
77th,Martin Searle,3:20:01,Male 35 to 39,18th
78th,Lance Gray,3:20:09,Male 45 to 49,8th
79th,Andrew Cave,3:21:17,Male 15 to 34,24th
80th,Jim Waite,3:22:32,Male 40 to 44,13th
81st,Paul Casey,3:22:51,Male 45 to 49,9th
82nd,Aaron Millar,3:23:28,Male 15 to 34,25th
83rd,Glen Burnett,3:23:56,Male 35 to 39,19th
84th,Malcolm Munro,3:24:09,Male 50 to 54,4th
85th,Jeremy Lightbourne,3:24:10,Male 40 to 44,14th
86th,Ian Morgan,3:24:15,Male 45 to 49,10th
87th,Jacek Pakulski,3:24:22,Male 35 to 39,20th
88th,Kevin Vanderboor,3:24:28,Male 35 to 39,21st
89th,Jonathan Drake,3:24:28,Male 45 to 49,11th
90th,Tony Jansen,3:24:48,Male 55 to 59,3rd
91st,Jim Wilson,3:24:48,Male 60 to 64,2nd
92nd,Ryan Nickelchok,3:25:30,Male 40 to 44,15th
93rd,Steve Duxfield,3:25:57,Male 55 to 59,4th
94th,Takaaki Hatanaka,3:26:10,Male 40 to 44,16th
95th,Jacqueline Eastman,3:26:27,Female 45 to 49,3rd
96th,Conrad Murrell,3:26:33,Male 55 to 59,5th
97th,Michael Browne,3:27:20,Male 35 to 39,22nd
98th,Clive Holyoake,3:27:44,Male 55 to 59,6th
99th,Craig Thomas,3:27:53,Male 35 to 39,23rd
100th,Martin Blampied,3:27:59,Male 60 to 64,3rd
101st,Sian Twiddy,3:27:59,Female 40 to 44,2nd
102nd,Jess Barnes,3:28:07,Female 15 to 34,4th
103rd,Andy Harper,3:28:12,Male 65 to 69,1st
104th,Robin Larkworthy,3:28:24,Male 55 to 59,7th
105th,Kelvin Chote,3:28:32,Male 45 to 49,12th
106th,Nathan Wall,3:28:53,Male 40 to 44,17th
107th,Lewis Shaw,3:29:17,Male 15 to 34,26th
108th,Milne Riley,3:29:55,Male 15 to 34,27th
109th,Emma Henricksen,3:30:08,Female 15 to 34,5th
110th,Vicki Wade,3:30:35,Female 45 to 49,4th
111th,Brendan Wright,3:30:38,Male 15 to 34,28th
112th,Robyn Groom,3:30:50,Female 40 to 44,3rd
113th,Ross Hay,3:30:50,Male 35 to 39,24th
114th,Jason Steyn-Ross,3:30:53,Male 15 to 34,29th
115th,Kelsey Horne,3:31:07,Female 15 to 34,6th
116th,Daniel Petersen,3:31:07,Male 50 to 54,5th
117th,Phillip Curtis,3:31:13,Male 60 to 64,4th
118th,Richard Foote,3:32:01,Male 35 to 39,25th
119th,Kerry Davis,3:32:12,Male 50 to 54,6th
120th,James Johnston,3:33:36,Male 35 to 39,26th
121st,Stephen White,3:33:36,Male 35 to 39,27th
122nd,Barry Watson,3:33:39,Male 60 to 64,5th
123rd,Sonia McAllister,3:33:51,Female 15 to 34,7th
124th,Ben Lythe,3:34:03,Male 40 to 44,18th
125th,Marek Pastuszka,3:34:04,Male 15 to 34,30th
126th,Stephen Cornwall,3:34:30,Male 15 to 34,31st
127th,Darryl King,3:34:41,Male 40 to 44,19th
