Position,Name,Time,Category,Category Position
1st,Michael Voss,2:29:29,M 16-34,1st
2nd,Greg Darbyshire,2:34:19,M 40-44,1st
3rd,Ewan Sinclair,2:34:36,M 40-44,2nd
4th,Nicholas Browne,2:35:27,M 40-44,3rd
5th,Zebedee Stone,2:36:09,M 35-39,1st
6th,Will O'Connor,2:38:22,M 16-34,2nd
7th,Troy Harold,2:42:33,M 50-54,1st
8th,Keith Burrows,2:43:25,M 45-49,1st
9th,Jayden Thomasen,2:43:59,M 16-34,3rd
10th,Jean-Paul Heather,2:44:40,M 35-39,2nd
11th,Brent Godfrey,2:47:45,M 35-39,3rd
12th,Caleb Pearson,2:51:18,M 16-34,4th
13th,Anthony Hancy,2:52:13,M 35-39,4th
14th,Ewen Campbell,2:54:02,M 35-39,5th
15th,Ingrid Cree,2:54:11,F 35-39,1st
16th,Stephen Gilbert,2:55:03,M 16-34,5th
17th,Brent Kelly,2:55:10,M 40-44,4th
18th,Matthew Peach,2:56:50,M 35-39,6th
19th,Haoting Ma,2:57:18,M 16-34,6th
20th,Simon Cochrane,2:57:26,M 35-39,7th
21st,Carl Read,2:57:26,M 40-44,5th
22nd,Michael Hale,2:57:56,M 40-44,6th
23rd,Jeremy Moody,2:58:13,M 40-44,7th
24th,Sue Crowley,2:59:18,F 50-54,1st
25th,Rowan Butler,3:00:30,M 40-44,8th
26th,Arne Nieuwenhuys,3:01:55,M 35-39,8th
27th,Gary Burr,3:02:25,M 40-44,9th
28th,Dion Blundell,3:04:28,M 45-49,2nd
29th,Haydn Gray,3:04:31,M 45-49,3rd
30th,Thomas Trollope,3:04:46,M 35-39,9th
31st,Cam Wasley,3:04:58,M 40-44,10th
32nd,Simon Aspden,3:05:36,M 50-54,2nd
33rd,Takaaki Hatanaka,3:05:45,M 45-49,4th
34th,Andrew Barron,3:06:23,M 40-44,11th
35th,Bruce Edwards,3:06:39,M 55-59,1st
36th,Troy Florence,3:08:45,M 40-44,12th
37th,David Oliver,3:10:04,M 40-44,13th
38th,Andrew Briant,3:10:09,M 16-34,7th
39th,Stephen Parker,3:10:30,M 45-49,5th
40th,Chris Sibley,3:10:53,M 40-44,14th
41st,Anna Williams,3:11:21,F 16-34,1st
42nd,Sam Walker,3:11:38,M 35-39,10th
43rd,Cameron McKenzie,3:11:59,M 40-44,15th
44th,Kevin Willers,3:12:00,M 45-49,6th
45th,Kovo MacDonald,3:12:08,F 35-39,2nd
46th,Mingda Zhu,3:13:06,M 40-44,16th
47th,Ben Green,3:13:06,M 35-39,11th
48th,Simon Jenkin,3:13:42,M 35-39,12th
49th,Billie-Lee Haresnape,3:13:46,F 16-34,2nd
50th,Jacques Botha,3:13:48,M 35-39,13th
51st,Jonathan Drake,3:14:15,M 50-54,3rd
52nd,Anthony Ng,3:14:27,M 45-49,7th
53rd,Denis Owen,3:15:17,M 35-39,14th
54th,Gene Rand,3:15:19,M 45-49,8th
55th,Tony Warren,3:15:20,M 55-59,2nd
56th,Andy Yin,3:15:30,M 45-49,9th
57th,Dave Gunn,3:15:39,M 50-54,4th
58th,Hugh Allison,3:15:42,M 50-54,5th
59th,Brent Knight,3:15:42,M 16-34,8th
60th,Liam Perry,3:15:52,M 16-34,9th
61st,Sean Kelly,3:15:54,M 45-49,10th
62nd,Dean Turner,3:16:14,M 45-49,11th
63rd,Patrick Bain,3:16:30,M 16-34,10th
64th,Rory Vere,3:16:40,M 35-39,15th
65th,Mark Hassall,3:17:07,M 50-54,6th
66th,Mark Webber,3:17:14,M 16-34,11th
67th,Daniel Playne,3:17:23,M 16-34,12th
68th,Ricky Liu,3:19:18,M 40-44,17th
69th,Simon Morbey,3:19:56,M 16-34,13th
70th,Luke Higgins,3:20:16,M 16-34,14th
71st,Jerome Kloeg,3:20:29,M 35-39,16th
72nd,Katherine Morgan,3:20:42,F 35-39,3rd
73rd,Carl Rose,3:21:28,M 45-49,12th
74th,Dennis Langford,3:22:43,M 45-49,13th
75th,David Pirie,3:23:28,M 40-44,18th
76th,Shaun Cooper,3:23:47,M 55-59,3rd
77th,Samuel Beale,3:23:59,M 16-34,15th
78th,Geoff Anderson,3:24:37,M 60-64,1st
79th,Simon Hitchcock,3:24:40,M 40-44,19th
80th,Wayne Pemberton,3:25:01,M 45-49,14th
81st,Michael Wanden,3:25:29,M 35-39,17th
82nd,Flynn Hill,3:26:14,M 16-34,16th
83rd,Steve Trass,3:26:19,M 55-59,4th
84th,Rick Federkeil,3:26:23,M 40-44,20th
85th,Gabriela Diver,3:26:37,F 16-34,3rd
86th,Ian Jackson,3:26:40,M 50-54,7th
87th,Kevin Knowles,3:26:43,M 60-64,2nd
88th,Anthea Oliver,3:27:00,F 35-39,4th
89th,Emma O'Connor,3:27:35,F 16-34,4th
90th,Kevin Thompson,3:27:47,M 55-59,5th
91st,Mark Cochrane,3:27:51,M 50-54,8th
92nd,Richard Hine,3:27:56,M 50-54,9th
93rd,Aaron Carter,3:28:06,M 45-49,15th
94th,Conrad Langridge,3:28:07,M 45-49,16th
95th,Anna McRae,3:28:11,F 45-49,1st
96th,Phil Murray,3:28:11,M 40-44,21st
97th,Blair Jordan,3:28:11,M 35-39,18th
98th,Scotty Yang,3:28:13,M 40-44,22nd
99th,Mike Hayes,3:29:26,M 50-54,10th
100th,Mark Eustace,3:29:43,M 60-64,3rd
101st,Mikey Clarke,3:29:56,M 35-39,19th
102nd,Michael Cummins,3:30:09,M 60-64,4th
103rd,Ryan Nickelchok,3:31:16,M 45-49,17th
104th,Alexander Cumming,3:31:33,M 40-44,23rd
105th,Melissa O'Brien,3:31:53,F 35-39,5th
106th,Eyan Yu,3:32:19,M 45-49,18th
107th,Werner Malan,3:32:21,M 16-34,17th
108th,Robin Larkworthy,3:32:34,M 60-64,5th
109th,Phillip Morrell,3:32:35,M 45-49,19th
110th,Michael Geddes,3:32:47,M 16-34,18th
111th,Jennie Nicholson,3:32:59,F 45-49,2nd
112th,Sam Bowden,3:33:26,M 45-49,20th
113th,Jamie Stevens,3:33:46,M 40-44,24th
114th,Rhys Hogg,3:34:06,M 45-49,21st
115th,Samuel Cross,3:34:08,M 16-34,19th
116th,Nicholas Helyar-Magill,3:34:47,M 16-34,20th
117th,Kristaps Maulvurfs,3:34:57,M 45-49,22nd
118th,Wim Van Dijk,3:35:01,M 55-59,6th
119th,Craig Dickinson,3:35:37,M 45-49,23rd
120th,Charlotte Porter,3:35:48,F 50-54,2nd
121st,Shaun Mutlow,3:35:54,M 35-39,20th
122nd,Will Rolton,3:36:31,M 35-39,21st
123rd,Barbara Hunter,3:36:37,F 35-39,6th
124th,Tristan Nicholls,3:36:52,M 16-34,21st
125th,Wyatt Johnston,3:36:58,M 16-34,22nd
126th,Anthony Lane,3:37:02,M 50-54,11th
127th,Martyn Douglas,3:37:12,M 35-39,22nd
128th,Laura Jackson,3:37:32,F 16-34,5th
129th,Mike Baker,3:37:34,M 40-44,25th
130th,Grant Bowles,3:37:43,M 35-39,23rd
131st,Kevin Jones,3:38:50,M 60-64,6th
132nd,Sarah L Sinclair,3:39:09,F 45-49,3rd
133rd,Troy Latta,3:39:16,M 35-39,24th
134th,Jordy Hardacre,3:39:23,F 16-34,6th
135th,Richard Brown,3:39:31,M 45-49,24th
136th,Anita Chan,3:39:57,F 16-34,7th
137th,Connor Broughton,3:40:21,M 16-34,23rd
138th,Taurean Haumaha-Howard,3:40:58,M 35-39,25th
139th,Jana Branca,3:41:53,F 35-39,7th
140th,Kevin Demchy,3:42:02,M 40-44,26th
141st,Michael Bao,3:42:18,M 40-44,27th
142nd,Alysha Delany,3:42:47,F 45-49,4th
143rd,Esther O'Sullivan,3:43:00,F 40-44,1st
144th,Andrew Stanley,3:43:04,M 55-59,7th
145th,Alex Mutsvairo,3:43:12,M 16-34,24th
146th,Kerry Davis,3:43:26,M 55-59,8th
147th,Glenn Wingate,3:43:35,M 45-49,25th
148th,Zac Hanley,3:43:41,M 50-54,12th
149th,Shaun Hall,3:43:56,M 16-34,25th
150th,Michael Crampton,3:44:08,M 35-39,26th
151st,Andy Harper,3:44:12,M 70-74,1st
152nd,Craig Muir,3:44:28,M 40-44,28th
153rd,Rachelle Green,3:44:31,F 40-44,2nd
154th,Daniel Parkman,3:44:48,M 45-49,26th
155th,Riley Samsom,3:44:48,M 16-34,26th
156th,Todd Grace,3:44:53,M 45-49,27th
157th,Nathan Wichmann,3:45:09,M 35-39,27th
158th,Stefanus Van Emmenis,3:45:09,M 35-39,28th
159th,Ryan Willoughby,3:45:11,M 16-34,27th
160th,Carl Logan,3:45:12,M 40-44,29th
161st,Tim Loughnane,3:45:14,M 40-44,30th
162nd,Roy Vicente,3:45:16,M 16-34,28th
163rd,Matthew Gare,3:45:17,M 16-34,29th
164th,Jeremy Raikes,3:45:17,M 40-44,31st
165th,Sean Finan,3:45:19,M 16-34,30th
166th,Kara Dubray,3:45:22,F 40-44,3rd
167th,Steve Turner,3:45:26,M 35-39,29th
168th,Pamela Lee,3:45:50,F 55-59,1st
169th,Gary Wilton,3:45:52,M 50-54,13th
170th,Aaron Bethune,3:46:04,M 40-44,32nd
171st,Rob Woolner,3:46:21,M 40-44,33rd
172nd,Wayne Lawrence,3:46:21,M 50-54,14th
173rd,Peter Kipfer,3:46:35,M 55-59,9th
