Position,Name,Time,Category,Category Position
1st,Michael Voss,2:31:13,M 16-34,1st
2nd,Blair McWhirter,2:33:48,M 35-39,1st
3rd,Nick Johnston,2:37:28,M 16-34,2nd
4th,Matthew Parsonage,2:37:52,M 40-44,1st
5th,Vajin Armstrong,2:39:18,M 40-44,2nd
6th,Alex Cowden,2:41:12,M 35-39,2nd
7th,Matthew Hallam,2:44:22,M 16-34,3rd
8th,Ben Wreford,2:48:02,M 35-39,3rd
9th,Samuel Clark,2:49:24,M 16-34,4th
10th,Dean Chiplin,2:49:52,M 45-49,1st
11th,Alice Mason,2:50:45,F 16-34,1st
12th,Shiloh Rumbal,2:51:43,M 16-34,5th
13th,Sam Rout,2:51:48,M 16-34,6th
14th,David Lovelock,2:54:06,M 16-34,7th
15th,Thomas Hargreaves,2:54:42,M 16-34,8th
16th,Marwane El Kamraoui,2:56:34,M 35-39,4th
17th,Mel Aitken,2:57:36,F 40-44,1st
18th,Ingrid Cree,2:57:55,F 35-39,1st
19th,Andrew Crosland,2:58:27,M 40-44,3rd
20th,Shaun McWhirter,2:58:46,M 40-44,4th
21st,Anthony Hancy,2:59:00,M 35-39,5th
22nd,Nick Crocker,2:59:35,M 35-39,6th
23rd,Dan Swale,2:59:39,M 16-34,9th
24th,Michael Jones,2:59:57,M 16-34,10th
25th,Erik Monasterio,3:05:27,M 50-54,1st
26th,Chris Atkinson,3:08:00,M 45-49,2nd
27th,Chris Dunell,3:08:23,M 16-34,11th
28th,Tomas Solar,3:08:31,M 35-39,7th
29th,Damien Cook,3:08:36,M 40-44,5th
30th,Kovo MacDonald,3:08:53,F 35-39,2nd
31st,Mark Searle,3:11:45,M 16-34,12th
32nd,Jamie Hall,3:12:09,M 16-34,13th
33rd,Dave Cox,3:12:41,M 45-49,3rd
34th,Shannon Bateup,3:13:10,M 16-34,14th
35th,Charlie Hulley,3:13:22,M 16-34,15th
36th,Sally Gibbs,3:13:40,F 55-59,1st
37th,Kevin Knowles,3:14:25,M 60-64,1st
38th,Cam Owen,3:14:44,M 16-34,16th
39th,Nick Reddish,3:15:26,M 16-34,17th
40th,Andrew Hickson,3:15:35,M 45-49,4th
41st,Paul Nobilo,3:15:44,M 45-49,5th
42nd,Tim Anderson,3:16:55,M 40-44,6th
43rd,Richard Ellison,3:17:17,M 16-34,18th
44th,Denis Owen,3:17:20,M 35-39,8th
45th,Tom Wilford,3:17:49,M 40-44,7th
46th,Robbie Hammond,3:18:06,M 16-34,19th
47th,Kevin Willers,3:18:41,M 40-44,8th
48th,Phill Jones,3:19:00,M 40-44,9th
49th,Terry Furmage,3:20:13,M 60-64,2nd
50th,Daniel Lincoln,3:20:32,M 16-34,20th
51st,Takaaki Hatanaka,3:20:47,M 40-44,10th
52nd,Travis Sperry,3:21:19,M 40-44,11th
53rd,John Rudge,3:22:10,M 65-69,1st
54th,Paul Brouwers,3:23:07,M 40-44,12th
55th,Reece Pickering,3:23:41,M 55-59,1st
56th,Cameron McKenzie,3:24:05,M 40-44,13th
57th,Sunil Fernandez-Ritchie,3:26:19,M 16-34,21st
58th,Dale Berrill,3:27:10,F 35-39,3rd
59th,Erwin Blokker,3:27:12,M 55-59,2nd
60th,Samuel Baker,3:27:23,M 16-34,22nd
61st,Nyla Carroll,3:27:40,F 50-54,1st
62nd,Kelly Sutherland,3:27:50,F 35-39,4th
63rd,Aaron Carter,3:27:58,M 45-49,6th
64th,Eve Pullar,3:28:50,F 16-34,2nd
65th,Cory Malcolm,3:28:54,M 16-34,23rd
66th,Veronica Maree,3:30:06,F 40-44,2nd
67th,Logan Robinson,3:30:07,M 16-34,24th
68th,Liam Perry,3:31:02,M 16-34,25th
69th,Stuart Frew,3:31:47,M 45-49,7th
70th,Satoru Kuwabara,3:31:58,M 16-34,26th
71st,Jeremy Boase,3:34:08,M 50-54,2nd
72nd,Nicolas Vessiot,3:34:37,M 35-39,9th
73rd,Nikki Edwards,3:36:20,F 40-44,3rd
74th,Liam Geraghty,3:36:34,M 35-39,10th
75th,Jason Stuckey,3:36:35,M 45-49,8th
76th,Jean-Prieur Du Plessis,3:36:37,M 16-34,27th
77th,Takeshi Otsuka,3:36:41,M 45-49,9th
78th,Paul Carlson,3:37:11,M 35-39,11th
79th,Andrew Prescott,3:37:50,M 50-54,3rd
80th,Joseph Walsh,3:38:30,M 16-34,28th
81st,Shinu Saju,3:38:50,M 35-39,12th
82nd,Felix Unger,3:39:01,M 16-34,29th
83rd,Dion Goodhue,3:39:38,M 16-34,30th
84th,Dan Edmonds,3:40:28,M 16-34,31st
85th,Keegan Mitchell,3:40:35,M 16-34,32nd
86th,Hayley O'Neill,3:41:04,F 40-44,4th
87th,Michael Cummins,3:41:17,M 60-64,3rd
88th,Linley Tod,3:42:33,F 45-49,1st
89th,Russell Nye-Wood,3:43:20,M 16-34,33rd
90th,Anna Guy,3:43:34,F 50-54,2nd
91st,Katie Martin,3:43:41,F 35-39,5th
92nd,Lauren Shearman,3:45:41,F 16-34,3rd
93rd,Nicky Penhall,3:45:49,M 16-34,34th
94th,Ben Smith,3:46:08,M 35-39,13th
95th,Phillip Curtis,3:46:11,M 65-69,2nd
96th,Miles Dean,3:46:13,M 40-44,14th
97th,Grant Pritchard,3:46:27,M 40-44,15th
98th,Charlotte Porter,3:46:33,F 45-49,2nd
99th,Doug Pankhurst,3:46:35,M 60-64,4th
100th,Lisa-Jean Foote,3:46:40,F 35-39,6th
101st,Hannah Buglass-Devereux,3:46:40,F 40-44,5th
102nd,Emma Cookman,3:47:19,F 16-34,4th
103rd,Michael Geddes,3:47:22,M 16-34,35th
104th,Lee-Ann Church,3:47:50,F 45-49,3rd
105th,Robert Bemner,3:47:54,M 40-44,16th
106th,Sam Bowden,3:48:05,M 45-49,10th
107th,Rochelle Putt,3:48:09,F 16-34,5th
108th,Lauren Spyker,3:49:51,F 16-34,6th
109th,Sarah Freemantle,3:50:18,F 40-44,6th
110th,James Hunt,3:50:31,M 60-64,5th
111th,Zachary Lilley,3:50:53,M 16-34,36th
112th,Mikey Clarke,3:51:03,M 35-39,14th
113th,Dwayne Collecutt,3:51:09,M 16-34,37th
114th,Dale Fairbrother,3:51:38,M 50-54,4th
115th,Meas Muth,3:52:15,M 40-44,17th
116th,Geno Milnes,3:52:21,M 16-34,38th
117th,Daniel Parkman,3:52:27,M 45-49,11th
