Position,Name,Time,Category,Category Position
1st,Michael Voss,1:06:07,Male 11 to 34,1st
2nd,Craig Kirkwood,1:10:34,Male 40 to 44,1st
3rd,James Richardson,1:12:59,Male 35 to 39,1st
4th,Donal Sheehy,1:13:36,Male 35 to 39,2nd
5th,Harry Burnard,1:14:59,Male 11 to 34,2nd
6th,Will O'Connor,1:16:41,Male 11 to 34,3rd
7th,Tony Olsen,1:17:06,Male 50 to 54,1st
8th,Rick Tombling,1:17:16,Male 40 to 44,2nd
9th,William Kelsey,1:17:37,Male 11 to 34,4th
10th,Daniel Jones,1:17:50,Male 11 to 34,5th
11th,Ryan Stacey,1:19:30,Male 11 to 34,6th
12th,Alice Mason,1:19:43,Female 11 to 34,1st
13th,David Cronshaw,1:19:58,Male 50 to 54,2nd
14th,Will Alexander,1:21:25,Male 11 to 34,7th
15th,John Caie,1:21:42,Male 50 to 54,3rd
16th,Gavin Butler,1:22:03,Male 45 to 49,1st
17th,Chris Fransham,1:22:23,Male 11 to 34,8th
18th,Kane Bretherton,1:22:29,Male 11 to 34,9th
19th,Candice Hammond,1:23:07,Female 11 to 34,2nd
20th,James Katene,1:23:20,Male 11 to 34,10th
21st,Mark MacLeod,1:24:08,Male 11 to 34,11th
22nd,Martin Benfell,1:24:39,Male 35 to 39,3rd
23rd,Haydn Gray,1:24:46,Male 40 to 44,3rd
24th,Sarah Murphy,1:24:47,Female 11 to 34,3rd
25th,Frank Cruickshank,1:25:03,Male 45 to 49,2nd
26th,Peter Boyd,1:25:23,Male 45 to 49,3rd
27th,David Kung,1:25:26,Male 45 to 49,4th
28th,Andrew Kerr,1:26:34,Male 40 to 44,4th
29th,Sunil Fernandez-Ritchie,1:26:56,Male 11 to 34,12th
30th,Anna Williams,1:27:09,Female 11 to 34,4th
31st,Warick Brenan,1:27:21,Male 45 to 49,5th
32nd,Kevin Lowe,1:28:14,Male 55 to 59,1st
33rd,Daniel Dickinson,1:28:17,Male 40 to 44,5th
34th,Frank Smith,1:28:27,Male 11 to 34,13th
35th,Anna Spence,1:28:51,Female 35 to 39,1st
36th,Zach Meyer,1:29:02,Male 11 to 34,14th
37th,David Foley,1:30:04,Male 50 to 54,4th
38th,Nathan Stanley Baynes,1:30:09,Male 11 to 34,15th
