Position,Name,Bib,Time,Category,Category Position,Gender,Gender Position,Run
170,SHANE WILKINSON,1267,34:27:03,50-59,22,Male,125,34:27:03
171,SOL HENARE,1111,34:28:21,40-49,47,Male,126,34:28:21
172,WILLIAM MUK,1176,34:28:38,50-59,23,Male,127,34:28:38
173,NEIL KRAAKMAN,1140,34:32:46,50-59,24,Male,128,34:32:46
174,SEAN DOYLE,1080,34:36:00,30-39,43,Male,129,34:36:00
175,AKIRA SUZUKI,1238,34:39:49,40-49,48,Male,130,34:39:49
176,LYN ROBERTSON,1207,34:40:38,60-69,1,Female,46,34:40:38
177,ATLEE BURPEE,1038,34:45:53,60-69,4,Male,131,34:45:53
178,ALISON BROUGHTON,1285,34:47:34,40-49,18,Female,47,34:47:34
179,KIT MAN TSANG,1252,35:01:55,30-39,17,Female,48,35:01:55
180,CHOK MING CHAN,1050,35:09:49,60-69,5,Male,132,35:09:49
181,SARAH NATHAN,1182,35:11:45,30-39,18,Female,49,35:11:45
182,FABRICE GUERIOT,1103,35:15:03,40-49,49,Male,133,35:15:03
183,FUMIO TANABE,1240,35:15:47,40-49,50,Male,134,35:15:47
184,CATHIE BLADE,1029,35:16:38,60-69,2,Female,50,35:16:38
185,KERRY CLAPHAM,1059,35:17:27,60-69,6,Male,135,35:17:27
186,CHEE LING CHEW,1051,35:20:42,50-59,25,Male,136,35:20:42
187,NICOLE LAWLER,1145,35:29:39,40-49,19,Female,51,35:29:39
188,LIZ KEEN,1130,35:29:40,50-59,8,Female,52,35:29:40
189,ALISON DRAKE,1082,35:29:43,30-39,19,Female,53,35:29:43
190,MIHO TSURUMI,1255,35:34:00,30-39,20,Female,54,35:34:00
191,SHANE TUHI,1256,35:36:00,60-69,7,Male,137,35:36:00
192,NICK OWEN,1190,35:38:38,50-59,26,Male,138,35:38:38
193,CHRIS BYCROFT,1040,35:41:08,40-49,51,Male,139,35:41:08
194,ROSIE ROCHESTER,1208,35:44:03,40-49,20,Female,55,35:44:03
195,DAVE BYRNE,1041,35:48:09,30-39,44,Male,140,35:48:09
196,CHI HUNG CHRISTOPHER CHUNG,1058,35:49:34,60-69,8,Male,141,35:49:34
197,SHI KIT CHAN,1049,35:49:38,50-59,27,Male,142,35:49:38
198,KAZUHIRO MUKAI,1177,35:51:29,50-59,28,Male,143,35:51:29
199,RAE PETERS,1196,35:54:41,50-59,9,Female,56,35:54:41
DNF,CAT BRADLEY,1278,,18-29,,Female,,
DNF,CARL READ,1005,,40-49,,Male,,
DNF,LOUISA BATES,1023,,30-39,,Female,,
DNF,MARK BEATTIE,1024,,30-39,,Male,,
DNF,JAMIE CALDER,1042,,40-49,,Male,,
DNF,MIKE CAMERON,1044,,50-59,,Male,,
DNF,MICHAEL CHIN,1053,,50-59,,Male,,
DNF,RAKESH CHINNALA,1054,,30-39,,Male,,
DNF,KETINA CHIVASA,1055,,30-39,,Female,,
DNF,MARIE CHOO,1056,,40-49,,Female,,
DNF,NADIA CURRIE,1066,,30-39,,Female,,
DNF,DARRON DALY,1068,,40-49,,Male,,
DNF,BRENDAN DAVIES,1072,,40-49,,Male,,
DNF,JASPER DE BIE,1073,,30-39,,Male,,
DNF,EAMONN DOYLE,1079,,30-39,,Male,,
DNF,TANIA DU PLESSIS,1084,,50-59,,Female,,31:07:21
DNF,BRIAN DUGUID,1085,,60-69,,Male,,
DNF,ROB EDKINS,1088,,50-59,,Male,,
DNF,SAM EGERTON,1089,,40-49,,Male,,
DNF,MATTHEW FAIRBAIRN,1094,,18-29,,Male,,
DNF,CHIHPING FU,1096,,50-59,,Male,,
DNF,RICHARD GOULD,1102,,50-59,,Male,,
DNF,GREG HALL,1105,,60-69,,Male,,
DNF,PHILIP HAMMOND,1108,,30-39,,Male,,
DNF,ADRIAN HENRY,1112,,50-59,,Male,,
DNF,DIEGO HERNANDEZ ROLLIZO,1113,,40-49,,Male,,31:51:00
DNF,LEON HO,1116,,30-39,,Male,,
DNF,LARS HOLDT,1118,,50-59,,Male,,
DNF,KAREN KOH,1137,,50-59,,Female,,
DNF,SANYA KONGMUNVATTANA,1139,,40-49,,Male,,
DNF,WYE KHE KWOK,1141,,40-49,,Male,,
DNF,HSIAO HUI LEE,1149,,50-59,,Male,,
DNF,SAM MCCREADY,1168,,50-59,,Male,,
DNF,HAYDEN MEACLEM,1171,,30-39,,Male,,
DNF,MICHAEL NORTON,1183,,50-59,,Male,,
DNF,TAKASHI OHTA,1185,,40-49,,Male,,
DNF,NGAIRE OLEARY,1188,,50-59,,Female,,32:22:45
DNF,MATTHEW PAWELSKI,1193,,30-39,,Male,,
DNF,RICHARD POOLE,1198,,50-59,,Male,,
DNF,NIGEL RICHARDSON,1203,,40-49,,Male,,
DNF,STEVE ROBERTS,1205,,50-59,,Male,,
DNF,MARK ROSEVEAR,1211,,50-59,,Male,,
DNF,JONATHAN SCOTT,1215,,40-49,,Male,,
DNF,JEFFERSON SILVA,1220,,30-39,,Male,,
DNF,JONATHAN SIMPSON,1221,,50-59,,Male,,
DNF,LOWENNA SMITH,1226,,30-39,,Female,,
DNF,MARK SMITH,1227,,40-49,,Male,,
DNF,CLIVE START,1231,,50-59,,Male,,
DNF,PRABA SUBRA,1235,,40-49,,Male,,
DNF,PETER SUR,1237,,30-39,,Male,,
DNF,KATHY THURLINGS,1247,,60-69,,Female,,
DNF,CHI FAI PATRICK TSO,1253,,50-59,,Male,,
DNF,MATTHEW URBANSKI,1257,,30-39,,Male,,
DNF,MANOJ VERGHESE,1261,,30-39,,Male,,
DNF,MATTHEW WHITTAKER,1265,,50-59,,Male,,
DNF,CLAIRE WHITTLE,1266,,30-39,,Female,,
DNF,KA CHUN WONG,1268,,30-39,,Male,,
DNF,SEAWON YOON,1273,,40-49,,Male,,
DNF,GERALD YUEN,1274,,40-49,,Male,,
DNF,TAKAYA AIBA,1291,,18-29,,Male,,
