Position,Name,Bib,Time,Category,Category Position,Gender,Gender Position,Run
1,TOM EVANS,2013,8:03:29,18-29,1,Male,1,8:03:29
2,MATHIEU BLANCHARD,2006,8:39:56,30-39,1,Male,2,8:39:56
3,KRIS BROWN,2008,8:40:51,30-39,2,Male,3,8:40:51
4,ANDRIUS RAMONAS,2027,8:47:20,30-39,3,Male,4,8:47:20
5,SAGE CANADAY,2009,8:54:20,30-39,4,Male,5,8:54:20
6,PATRICK REAGAN,2028,8:55:43,30-39,5,Male,6,8:55:43
7,JOSH GARRETT,2215,9:27:44,30-39,6,Male,7,9:27:44
8,TIM LOCKE,2373,9:33:00,30-39,7,Male,8,9:33:00
9,CATLOW SHIPEK,2537,9:34:45,40-49,1,Male,9,9:34:45
10,MANUELA SOCCOL,2031,9:39:49,30-39,1,Female,1,9:39:49
11,KUNAAL RAJPAL,2504,9:46:22,30-39,8,Male,10,9:46:22
12,ANNE-MARIE MADDEN,2021,9:52:42,30-39,2,Female,2,9:52:42
13,KYLE WEISE,2033,9:58:39,18-29,2,Male,11,9:58:39
14,WILLIAM O'CONNOR,2025,10:09:49,30-39,9,Male,12,10:09:49
15,NAOMI BRAND,2662,10:31:25,30-39,3,Female,3,10:31:25
16,PIOTR ?UBI?SKI,2642,10:38:04,40-49,2,Male,13,10:38:04
17,CHRISTOPHER BOWER,2084,10:41:32,30-39,10,Male,14,10:41:32
18,RICCARDO TORTINI,2032,10:43:55,30-39,11,Male,15,10:43:55
19,DENIS FINN,2200,10:45:44,18-29,3,Male,16,10:45:44
20,NICOLE BITTER,2005,10:46:54,30-39,4,Female,4,10:46:54
21,ZACH BITTER,2004,10:46:54,30-39,12,Male,17,10:46:54
22,ARTUR PIECHA,2491,10:48:20,40-49,3,Male,18,10:48:20
23,ALEXIS BILAK,2072,10:51:39,30-39,13,Male,19,10:51:39
24,KONOKA AZUMI,2052,10:55:03,30-39,5,Female,5,10:55:03
25,BENN COUBROUGH,2011,10:56:11,30-39,14,Male,20,10:56:11
26,KATE LOYE,2382,11:01:57,18-29,1,Female,6,11:01:57
27,SARAH LUDOWICI,2020,11:10:18,18-29,2,Female,7,11:10:18
28,TIMOTHY BERRY,2069,11:17:01,30-39,15,Male,21,11:17:01
29,SIMON COCHRANE,2010,11:26:18,30-39,16,Male,22,11:26:18
30,MICHAEL DIMUANTES,2163,11:26:40,18-29,4,Male,23,11:26:40
31,FABIO BALTIERI,2055,11:27:46,30-39,17,Male,24,11:27:46
32,JOHN O'DRISCOLL,2465,11:28:01,30-39,18,Male,25,11:28:01
33,NEIL KEMPTON,2338,11:31:01,30-39,19,Male,26,11:31:01
34,STUART HUGHES,2309,11:36:57,40-49,4,Male,27,11:36:57
35,DOMINIC RIGBY,2513,11:39:39,40-49,5,Male,28,11:39:39
36,CONSTANTIN HUBERT,2307,11:40:54,18-29,5,Male,29,11:40:54
37,ROBERTO ENA,2187,11:47:39,40-49,6,Male,30,11:47:39
38,GERARD RIORDAN,2514,11:47:51,18-29,6,Male,31,11:47:51
39,STU GILBERT,2227,11:50:53,40-49,7,Male,32,11:50:53
40,GARETH MORRIS,2440,11:51:55,40-49,8,Male,33,11:51:55
41,HELENE BARRON,2058,11:52:04,40-49,1,Female,8,11:52:04
42,MARKUS MILLFAHRT,2427,11:53:26,40-49,9,Male,34,11:53:26
43,FIONA HAYVICE,2015,11:54:08,40-49,2,Female,9,11:54:08
44,MICHELLE MCADAM,2405,11:55:13,30-39,6,Female,10,11:55:13
45,ANDREW RUTHERDALE,2525,11:56:09,30-39,20,Male,35,11:56:09
46,NICK SUNDERLAND,2572,12:00:32,30-39,21,Male,36,12:00:32
47,ANDREW KOTLAR,2347,12:00:42,40-49,10,Male,37,12:00:42
48,RICHARD WHITEMAN,2655,12:00:42,40-49,11,Male,38,12:00:42
49,BEVAN LITTLER,2369,12:05:17,40-49,12,Male,39,12:05:17
50,TIM VAN DEN BROECK,2608,12:06:40,30-39,22,Male,40,12:06:40
51,VERONKIA LIMBERGER,2019,12:07:00,30-39,7,Female,11,12:07:00
52,MATT TUREI,2599,12:07:07,40-49,13,Male,41,12:07:07
53,ALEX ANDERSON,2044,12:08:50,18-29,7,Male,42,12:08:50
54,NIKKI KEAR,2334,12:09:00,30-39,8,Female,12,12:09:00
55,JOSH HARDING,2264,12:12:33,30-39,23,Male,43,12:12:33
56,RICHARD MALCOLM,2393,12:14:15,18-29,8,Male,44,12:14:15
57,SIMON ANGUS,2046,12:14:33,30-39,24,Male,45,12:14:33
58,BEN COLLINS,2141,12:18:09,30-39,25,Male,46,12:18:09
59,OLIVER WILSON,2630,12:19:12,18-29,9,Male,47,12:19:12
60,RANJIT SINGH,2542,12:20:47,30-39,26,Male,48,12:20:47
61,TOM ALEXANDER,2039,12:21:23,30-39,27,Male,49,12:21:23
62,ANDREW MCDOWALL,2411,12:21:54,40-49,14,Male,50,12:21:54
63,LUCY BARTHOLOMEW,2003,12:24:07,18-29,3,Female,13,12:24:07
64,SHAWN O'LEARY,2466,12:24:20,40-49,15,Male,51,12:24:20
65,JOSH HOWELL,2303,12:32:02,18-29,10,Male,52,12:32:02
66,THOMAS BIELBY,2071,12:32:36,30-39,28,Male,53,12:32:36
67,KEITH BURROWS,2652,12:39:26,40-49,16,Male,54,12:39:26
68,GWENDOLYN OSTROSKY,2026,12:40:13,30-39,9,Female,14,12:40:13
69,TORSTEN HEYCKE,2279,12:40:25,60-69,1,Male,55,12:40:25
70,SCOTT HOTHAM,2299,12:41:34,40-49,17,Male,56,12:41:34
71,RYO MIYANAMI,2433,12:42:01,40-49,18,Male,57,12:42:01
72,GAVIN GOWER,2235,12:46:15,40-49,19,Male,58,12:46:15
73,SARAH HEALY,2274,12:48:14,40-49,3,Female,15,12:48:14
74,JAMES BRYANT BLAND,2661,12:48:54,18-29,11,Male,59,12:48:54
75,PAUL STABLES,2562,12:51:18,50-59,1,Male,60,12:51:18
76,GAEL COULOMBEL,2145,12:53:54,30-39,29,Male,61,12:53:54
77,STUART MEIKLEJOHN,2422,12:57:40,40-49,20,Male,62,12:57:40
78,EMILY BURMESTER,2104,12:59:36,30-39,10,Female,16,12:59:36
79,PAUL GRAY,2240,12:59:38,50-59,2,Male,63,12:59:38
80,DAVID BROMHEAD,2093,13:01:34,30-39,30,Male,64,13:01:34
81,AOIFE NI MHAOILEOIN,2455,13:03:13,30-39,11,Female,17,13:03:13
82,MARITA EISLER,2180,13:03:55,30-39,12,Female,18,13:03:55
83,CHRISSI FABER,2190,13:06:00,18-29,4,Female,19,13:06:00
84,JUNKO KAGEYAMA,2332,13:06:56,30-39,13,Female,20,13:06:56
85,ALEX HEAD,2273,13:07:21,40-49,21,Male,65,13:07:21
86,BRUNO CARVALHO,2114,13:10:04,30-39,31,Male,66,13:10:04
87,CHANTELLE SMITH,2552,13:11:54,30-39,14,Female,21,13:11:54
88,THOMAS WATSON,2617,13:12:09,30-39,32,Male,67,13:12:09
89,JAKUB MLYNARCZYK,2434,13:12:22,18-29,12,Male,68,13:12:22
90,TAKEFUMI OGAWA,2643,13:14:45,40-49,22,Male,69,13:14:45
91,KENDAN GIBSON,2226,13:17:38,30-39,33,Male,70,13:17:38
92,CAMERON TOOMEY,2592,13:18:01,40-49,23,Male,71,13:18:01
93,JOCHEN FERGEN,2197,13:18:48,50-59,3,Male,72,13:18:48
94,JAROD OLSEN,2467,13:21:37,40-49,24,Male,73,13:21:37
95,KARLENE WILLCOCKS,2627,13:22:00,40-49,4,Female,22,13:22:00
96,MARK IRWIN,2316,13:22:33,40-49,25,Male,74,13:22:33
97,BRADLEY HOUGHTON,2300,13:26:14,30-39,34,Male,75,13:26:14
98,LOIC AURE,2051,13:27:06,18-29,13,Male,76,13:27:06
99,JONATHAN REES,2508,13:27:34,40-49,26,Male,77,13:27:34
100,LYONEL TAN,2577,13:28:11,40-49,27,Male,78,13:28:11
101,ZOE ANDERSON,2045,13:28:24,18-29,5,Female,23,13:28:24
102,IAIN MCLEAN,2417,13:28:57,40-49,28,Male,79,13:28:57
103,BEN LYTHE,2386,13:31:37,40-49,29,Male,80,13:31:37
104,EMMA BASSETT,2063,13:35:25,30-39,15,Female,24,13:35:25
105,JORDAN BRYANT,2102,13:36:12,30-39,35,Male,81,13:36:12
106,HOLLY ROSS,2523,13:39:58,30-39,16,Female,25,13:39:58
107,BRENT MARKWICK,2398,13:41:37,40-49,30,Male,82,13:41:37
108,DAVID HAESAERT,2255,13:42:59,30-39,36,Male,83,13:42:59
109,RAMIRO LOPEZ PENA,2377,13:42:59,30-39,37,Male,84,13:42:59
