Position,Name,Bib,Time,Net Time,Category,Category Position,Gender,Gender Position,col10
,PIETER DE WET,00901,,,MVET,,M,,view
,REBECCA HAYES,00942,,,FVET,,F,,view
,HARALD HOCHMANN,00953,,,MVET,,M,,view
,ANNIE JOHNSON,00966,,,FVET,,F,,view
,KAT KEELAN,00974,,,FVET,,F,,view
,SARAH KENNEDY,00976,,,FOPEN,,F,,view
,DAMIAN KING,00978,,,MVET,,M,,view
,NATASHA LABAN,00984,,,FVET,,F,,view
,KERRI LAW,00986,,,FOPEN,,F,,view
,ANDREW LISTER,00994,,,MVET,,M,,view
,KYLEE LONG,00997,,,FVET,,F,,view
,MATALASI MAHINA,01005,,,FVET,,F,,view
,JACINTA MATISI,01011,,,FVET,,F,,view
,GEORGE MAWSON,01012,,,MOPEN,,M,,view
,STACI MCLEAN,01018,,,FVET,,F,,view
,GEETA NAIK,01035,,,FOPEN,,F,,view
,NEHA NALAWADE,01036,,,FOPEN,,F,,view
,JODY PADDY,01044,,,FVET,,F,,view
,BRENDON PASCOE,01048,,,MVET,,M,,view
,RHYS PROTHEROE,01060,,,MVET,,M,,view
,OXANA SAVCHENKOVA,01080,,,FOPEN,,F,,view
,SAM SMIDT,01092,,,MOPEN,,M,,view
,PAORA TEAMOKE,01106,,,MVET,,M,,view
,JOHN WESSELING,01122,,,MVET,,M,,view
